priority,plan_code,fund_name,sheet,what_this_sheet_is,why_flagged,source_pdf,model_says_it_used,artifacts_folder,VERDICT,LAYER (transcription/transformation/assumption/image),PDF_PAGE_CHECKED,CORRECT_VALUE_IF_WRONG,NOTES
1-HIGH,aus_ff,Austin (TX) Fire,Age_Serv_Num,Active members: headcount by age x years of service,the table's OWN printed totals do not add up from its cells | headcount disagrees with an independent database,TX_AUSTINCITY-COAFFRP_AV_2017_216.pdf,p21 AGE AND SERVICE DISTRIBUTION,Data Extraction/runs/_batch_round3/aus_ff_Age_Serv_Num_20260729_133657,,,,,
1-HIGH,aus_pol,Austin (TX) Police,Retirement,Retirees: count and average benefit by age band,output audit: SUSPECT:counts-fractional,TX_AUSTINCITY-COAPRS_AV_2019_217.pdf,p48 Annuitants – Distribution by Age and Cat,Data Extraction/runs/_batch_round3/aus_pol_Retirement_20260729_140517,,,,,
1-HIGH,chi_pol,Chicago (IL) Police,Age_Serv_Wage,Active members: average salary by age x years of service,the table's OWN printed totals do not add up from its cells,IL_CHICAGOCITY-PABF_AV_2019_146.pdf,p46 Exhibit C – Part III Total Lives and Ann; p46 Exhibit C – Part III Total Lives and Ann,Data Extraction/runs/_batch_round3/chi_pol_Age_Serv_Wage_20260729_152248,,,,,
1-HIGH,dal,Dallas (TX) ERS,Avg_Mort,Mortality (death) probability by age,"output audit: SUSPECT:constant-column, SUSPECT:mortality-level",Tx_Dallas_ERF_AV_2019_201.pdf,p50 Disability Mortality Rate; p50 Mortality Rate (Other Benefit Recipients; p51 Mortality Rate (Active Members),Data Extraction/runs/_batch_round3/dal_Avg_Mort_20260729_160533,,,,,
1-HIGH,dal_pf,Dallas (TX) Police and Fire,Age_Serv_Num,Active members: headcount by age x years of service,the table's OWN printed totals do not add up from its cells | headcount disagrees with an independent database,TX_DALLASCITY-DPFP_AV_2019_153.pdf,p38 Exhibit B-1: Total Members in Active Ser,Data Extraction/runs/_batch_round3/dal_pf_Age_Serv_Num_20260729_160706,,,,,
1-HIGH,dal_pf,Dallas (TX) Police and Fire,Age_Serv_Wage,Active members: average salary by age x years of service,the table's OWN printed totals do not add up from its cells,TX_DALLASCITY-DPFP_AV_2019_153.pdf,p38 Exhibit B-1: Total Members in Active Ser; p38 Exhibit B-1: Total Members in Active Ser,Data Extraction/runs/_batch_round3/dal_pf_Age_Serv_Wage_20260729_161651,,,,,
1-HIGH,dc_pf,DC Police & Fire,Age_Serv_Num,Active members: headcount by age x years of service,headcount disagrees with an independent database,DC_DCRB-PFRS-TRS_AV_2019_19_20.pdf,p33 Active Age/Service Distribution Includin; p34 Active Age/Service Distribution Includin; p35 Active Age/Service Distribution Includin,Data Extraction/runs/_batch_round3/dc_pf_Age_Serv_Num_20260729_163957,,,,,
1-HIGH,dc_teach,DC Teachers,Age_Serv_Num,Active members: headcount by age x years of service,headcount disagrees with an independent database,DC_DCRB-PFRS-TRS_AV_2019_19_20.pdf,p33 Active Age/Service Distribution Includin; p34 Active Age/Service Distribution Includin; p35 Active Age/Service Distribution Includin,Data Extraction/runs/_batch_round3/dc_teach_Age_Serv_Num_20260729_171405,,,,,
1-HIGH,den_schools,Denver (CO) Schools,Age_Serv_Num,Active members: headcount by age x years of service,headcount disagrees with an independent database,CO_CO-PERA-LGD-SCDTF-SDTF_AV_2019_13_14_15_23.pdf,p115 Exhibit C: Schedule of Active Member Dat; p116 Exhibit C: Schedule of Active Member Dat; p117 Exhibit C: Schedule of Active Member Dat,Data Extraction/runs/_batch_round3/den_schools_Age_Serv_Num_20260729_175326,,,,,
1-HIGH,den_schools,Denver (CO) Schools,Age_Serv_Wage,Active members: average salary by age x years of service,the table's OWN printed totals do not add up from its cells | output audit: NOTE:sparse,CO_CO-PERA-LGD-SCDTF-SDTF_AV_2019_13_14_15_23.pdf,p115 Exhibit C: Schedule of Active Member Dat; p115 Exhibit C: Schedule of Active Member Dat; p116 Exhibit C: Schedule of Active Member Dat,Data Extraction/runs/_batch_round3/den_schools_Age_Serv_Wage_20260729_180002,,,,,
