plan,sheet,status,score,totals,ppd,owner,note,run_dir
aus,Age_Serv_Num,production,,clean,ok,RA,no workbook - check extracted vs PDF directly,sweep_20260727/aus_Age_Serv_Num_20260727_135417
aus,Age_Serv_Wage,production,,clean,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/aus_Age_Serv_Wage_20260727_135446
aus,Avg_Mort,unavailable,,clean,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/aus_Avg_Mort_20260727_135658
aus,Ret_Rate,production,,none,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/aus_Ret_Rate_20260727_135538
aus,Retirement,unavailable,,none,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/aus_Retirement_20260727_135725
aus,Sep_Rate,production,,none,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/aus_Sep_Rate_20260727_135638
bos,Avg_Mort,production,,clean,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/bos_Avg_Mort_20260727_141556
bos,Ret_Rate,production,,none,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/bos_Ret_Rate_20260727_141332
bos,Retirement,unavailable,,none,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/bos_Retirement_20260727_141647
bos,Sep_Rate,production,,none,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/bos_Sep_Rate_20260727_141453
chi_edu,Age_Serv_Num,scored,1.0,clean,ok,RA,near-perfect - light spot-check vs PDF,sweep_20260727/chi_edu_Age_Serv_Num_20260727_141709
chi_edu,Avg_Mort,production,,clean,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/chi_edu_Avg_Mort_20260727_142030
chi_edu,Retirement,unavailable,,clean,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/chi_edu_Retirement_20260727_142230
chi_ff,Age_Serv_Num,scored,0.9787,suspect,ok,RA,imperfect - adjudicate vs PDF,sweep_20260727/chi_ff_Age_Serv_Num_20260727_142320
chi_ff,Avg_Mort,unavailable,,clean,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/chi_ff_Avg_Mort_20260727_142821
chi_ff,Ret_Rate,unavailable,,none,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/chi_ff_Ret_Rate_20260727_142634
chi_ff,Retirement,scored,0.5,clean,,RA,imperfect - adjudicate vs PDF,sweep_20260727/chi_ff_Retirement_20260727_142929
chi_gen,Age_Serv_Num,scored,0.9831,clean,ok,RA,near-perfect - light spot-check vs PDF,sweep_20260727/chi_gen_Age_Serv_Num_20260727_143004
chi_gen,Retirement,scored,0.5,clean,,RA,imperfect - adjudicate vs PDF,sweep_20260727/chi_gen_Retirement_20260727_145242
chi_pol,Age_Serv_Num,scored,0.8684,suspect,ok,RA,one-row column shift on age-64 row; source stops at 63 so age-70 empty,sweep_20260727/chi_pol_Age_Serv_Num_20260727_145339
chi_pol,Avg_Mort,production,,clean,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/chi_pol_Avg_Mort_20260727_150530
chi_pol,Retirement,scored,1.0,clean,,RA,near-perfect - light spot-check vs PDF,sweep_20260727/chi_pol_Retirement_20260727_150703
dal,Age_Serv_Num,scored,0.9828,clean,ok,RA,near-perfect - light spot-check vs PDF,sweep_20260727/dal_Age_Serv_Num_20260727_150733
dal,Age_Serv_Wage,scored,0.0175,clean,,RA,0.02 - adjudicate vs PDF (likely also a totals/ratio issue),sweep_20260727/dal_Age_Serv_Wage_20260727_150752
dal,Retirement,scored,1.0,clean,,RA,near-perfect - light spot-check vs PDF,sweep_20260727/dal_Retirement_20260727_151109
hou_pol,Age_Serv_Num,scored,1.0,suspect,ok,RA,imperfect - adjudicate vs PDF,sweep_20260727/hou_pol_Age_Serv_Num_20260727_151130
hou_pol,Age_Serv_Wage,scored,0.9773,none,,RA,imperfect - adjudicate vs PDF,sweep_20260727/hou_pol_Age_Serv_Wage_20260727_151305
hou_pol,Ret_Rate,scored,1.0,none,,RA,near-perfect - light spot-check vs PDF,sweep_20260727/hou_pol_Ret_Rate_20260727_152241
hou_pol,Retirement,unavailable,,none,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/hou_pol_Retirement_20260727_152427
lax_ffpol,Age_Serv_Num,scored,1.0,clean,ok,RA,near-perfect - light spot-check vs PDF,sweep_20260727/lax_ffpol_Age_Serv_Num_20260727_152502
lax_ffpol,Age_Serv_Wage,scored,0.9167,none,,RA,imperfect - adjudicate vs PDF,sweep_20260727/lax_ffpol_Age_Serv_Wage_20260727_152550
lax_ffpol,Avg_Mort,production,,clean,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/lax_ffpol_Avg_Mort_20260727_154125
lax_ffpol,Ret_Rate,production,,none,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/lax_ffpol_Ret_Rate_20260727_152714
lax_ffpol,Retirement,unavailable,,none,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/lax_ffpol_Retirement_20260727_154419
lax_gen,Age_Serv_Num,scored,0.9655,clean,ok,RA,imperfect - adjudicate vs PDF,sweep_20260727/lax_gen_Age_Serv_Num_20260727_154504
lax_gen,Avg_Mort,production,,clean,,RA,no workbook - check extracted vs PDF directly,sweep_20260727/lax_gen_Avg_Mort_20260727_155221
lax_gen,Ret_Rate,unavailable,,none,,RA,model says table not in doc - verify vs PDF; if it's an IMAGE -> needs vision model,sweep_20260727/lax_gen_Ret_Rate_20260727_155010
