plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
aus,Age_Serv_Num,production,,,,,,,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/aus_Age_Serv_Num_20260727_135417,ok
aus,Age_Serv_Wage,production,,,,,,,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/aus_Age_Serv_Wage_20260727_135446,
aus,Ret_Rate,production,,,,,,,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/aus_Ret_Rate_20260727_135538,
aus,Sep_Rate,production,,,,,,,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/aus_Sep_Rate_20260727_135638,
aus,Avg_Mort,unavailable,,,,,,,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/aus_Avg_Mort_20260727_135658,
aus,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/aus_Retirement_20260727_135725,
bos,Age_Serv_Num,crash,,,,,,,,,8,response still violates the contract after 8 attempts: | derive=sum tables must have the same SHAPE (same number of rows and columns) - they are summed by position; transcribe the same distribution grid in each group table,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/bos_Age_Serv_Num_20260727_135753,
bos,Age_Serv_Wage,crash,,,,,,,,,8,response still violates the contract after 8 attempts: | source_tables[0].cells has 24 rows but 12 row_labels,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/bos_Age_Serv_Wage_20260727_140815,
bos,Ret_Rate,production,,,,,,,none,3,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/bos_Ret_Rate_20260727_141332,
bos,Sep_Rate,production,,,,,,,none,4,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/bos_Sep_Rate_20260727_141453,
bos,Avg_Mort,production,,,,,,,clean,6,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/bos_Avg_Mort_20260727_141556,
bos,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/bos_Retirement_20260727_141647,
chi_edu,Age_Serv_Num,scored,1.0,55,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/chi_edu_Age_Serv_Num_20260727_141709,ok
chi_edu,Age_Serv_Wage,scored,0.0,0,0,50,0,11,clean,2,3,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/chi_edu_Age_Serv_Wage_20260727_141736,
chi_edu,Ret_Rate,scored,0.0,0,0,0,189,0,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/chi_edu_Ret_Rate_20260727_141906,
chi_edu,Sep_Rate,scored,0.0,0,0,0,91,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/chi_edu_Sep_Rate_20260727_141945,
chi_edu,Avg_Mort,production,,,,,,,clean,4,4,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/chi_edu_Avg_Mort_20260727_142030,
chi_edu,Retirement,unavailable,,,,,,,clean,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/chi_edu_Retirement_20260727_142230,
chi_ff,Age_Serv_Num,scored,0.9787,46,0,1,0,24,suspect,1,7,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/chi_ff_Age_Serv_Num_20260727_142320,ok
