plan,ppd_id,registered,doc,n_years,earliest,latest,has_2019,has_2022,years
aus,12,yes,AV,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
aus,12,yes,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
aus_ff,216,no,AV,7,2009,2022,no,yes,2009 2011 2013 2015 2016 2017 2022
aus_ff,216,no,CAFR,13,2009,2022,yes,yes,2009 2010 2011 2012 2014 2015 2016 2017 2018 2019 2020 2021 2022
aus_pol,217,no,AV,14,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2021 2022
aus_pol,217,no,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
bos,148,yes,AV,8,2010,2021,yes,no,2010 2012 2013 2014 2016 2017 2019 2021
bos,148,yes,CAFR,13,2010,2022,yes,yes,2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
chi_edu,11,yes,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
chi_edu,11,yes,CAFR,14,2008,2022,yes,yes,2008 2009 2010 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
chi_ff,206,yes,AV,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
chi_ff,206,yes,CAFR,0,,,no,no,
chi_gen,145,yes,AV,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
chi_gen,145,yes,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
chi_pol,146,yes,AV,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
chi_pol,146,yes,CAFR,11,2008,2018,no,no,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018
clt_ff,182,no,AV,2,2022,2023,no,yes,2022 2023
clt_ff,182,no,CAFR,4,2019,2023,yes,yes,2019 2021 2022 2023
clt_le,229,no,AV,0,,,no,no,
clt_le,229,no,CAFR,0,,,no,no,
dal,201,yes,AV,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
dal,201,yes,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
dal_pf,153,no,AV,14,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2019 2020 2021 2022
dal_pf,153,no,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
dc_pf,19,no,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
dc_pf,19,no,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
dc_teach,20,no,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
dc_teach,20,no,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
den,22,no,AV,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
den,22,no,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
den_schools,23,no,AV,13,2010,2022,yes,yes,2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
den_schools,23,no,CAFR,13,2010,2022,yes,yes,2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
hou_ff,30,no,AV,10,2008,2022,no,yes,2008 2009 2010 2011 2012 2013 2015 2016 2020 2022
hou_ff,30,no,CAFR,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
hou_gen,204,no,AV,7,2017,2023,yes,yes,2017 2018 2019 2020 2021 2022 2023
hou_gen,204,no,CAFR,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
hou_pol,208,yes,AV,15,2008,2023,yes,yes,2008 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
hou_pol,208,yes,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
lax_ffpol,140,yes,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
lax_ffpol,140,yes,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
lax_gen,139,yes,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
lax_gen,139,yes,CAFR,15,2009,2023,yes,yes,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
lax_uty,141,yes,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
lax_uty,141,yes,CAFR,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
mil,151,yes,AV,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
mil,151,yes,CAFR,14,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2021 2022
nsh,158,no,AV,10,2011,2022,yes,yes,2011 2014 2015 2016 2017 2018 2019 2020 2021 2022
nsh,158,no,CAFR,0,,,no,no,
nyc_edu,211,no,AV,5,2016,2021,no,no,2016 2017 2018 2020 2021
nyc_edu,211,no,CAFR,12,2011,2023,yes,yes,2011 2012 2013 2015 2016 2017 2018 2019 2020 2021 2022 2023
nyc_ers,76,no,AV,4,2018,2021,yes,no,2018 2019 2020 2021
nyc_ers,76,no,CAFR,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
nyc_fire,149,no,AV,3,2021,2023,no,yes,2021 2022 2023
nyc_fire,149,no,CAFR,3,2021,2023,no,yes,2021 2022 2023
nyc_pol,150,no,AV,5,2017,2021,yes,no,2017 2018 2019 2020 2021
nyc_pol,150,no,CAFR,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
phi,152,yes,AV,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
phi,152,yes,CAFR,10,2008,2017,no,no,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017
phx,94,yes,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
phx,94,yes,CAFR,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
sd,144,yes,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
sd,144,yes,CAFR,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
sea,156,no,AV,14,2008,2022,yes,yes,2008 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
sea,156,no,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
sf,98,yes,AV,16,2008,2023,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
sf,98,yes,CAFR,15,2008,2022,yes,yes,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
