plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
aus,Age_Serv_Num,production,,,,,,,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_Age_Serv_Num_20260729_132148,ok
aus,Age_Serv_Wage,production,,,,,,,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_Age_Serv_Wage_20260729_132217,
aus,Ret_Rate,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | col_map references 2 source label(s) that do NOT exist in source_tables[0]: ['Males', 'Females']. Code matches these EXACTLY against the table's own labels and silently yields an empty cell when there is no match, so the whole grid comes out n",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_Ret_Rate_20260729_132306,
aus,Sep_Rate,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | broadcast: col_map (the varying axis) references 6 label(s) that are not ROW labels of source_tables[0]: ['6', '8', '10', '11', '12', '15+']. In broadcast the varying-axis sources are the source's ROW labels (the printed bins). Available rows:",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_Sep_Rate_20260729_132551,
aus,Avg_Mort,production,,,,,,,none,3,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_Avg_Mort_20260729_133456,
aus,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_Retirement_20260729_133627,
aus_ff,Age_Serv_Num,production,,,,,,,suspect,1,8,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_ff_Age_Serv_Num_20260729_133657,off
aus_ff,Age_Serv_Wage,production,,,,,,,suspect,1,9,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_ff_Age_Serv_Wage_20260729_133901,
aus_ff,Ret_Rate,crash,,,,,,,,,8,response still violates the contract after 8 attempts: | broadcast cannot be combined with transpose - transcribe the varying dimension as ROWS and set broadcast instead,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_ff_Ret_Rate_20260729_134043,
aus_ff,Sep_Rate,production,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_ff_Sep_Rate_20260729_134249,
aus_ff,Avg_Mort,unavailable,,,,,,,none,4,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_ff_Avg_Mort_20260729_134321,
aus_ff,Retirement,unavailable,,,,,,,none,0,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_ff_Retirement_20260729_134351,
aus_pol,Age_Serv_Num,production,,,,,,,clean,1,4,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_pol_Age_Serv_Num_20260729_134401,ok
aus_pol,Age_Serv_Wage,production,,,,,,,clean,2,5,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_pol_Age_Serv_Wage_20260729_134452,
aus_pol,Ret_Rate,crash,,,,,,,,,,object of type 'int' has no len(),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_pol_Ret_Rate_20260729_134631,
aus_pol,Sep_Rate,production,,,,,,,none,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_pol_Sep_Rate_20260729_134737,
aus_pol,Avg_Mort,crash,,,,,,,,,7,"response still violates the contract after 7 attempts: | output-limit truncation (64000 tok): content=141831 chars, 6 source_tables, ~0 cell-rows, late-window recurs 75x -> LIKELY LOOP. [full text -> /orcd/scratch/orcd/011/ncomati/dumps/truncated_0_141831.txt] HEAD: '{   ""source_tables"": [     {    ",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_pol_Avg_Mort_20260729_134752,
aus_pol,Retirement,production,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/aus_pol_Retirement_20260729_140517,
bos,Age_Serv_Num,production,,,,,,,none,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/bos_Age_Serv_Num_20260729_140542,ok
bos,Age_Serv_Wage,production,,,,,,,none,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/bos_Age_Serv_Wage_20260729_140626,
bos,Ret_Rate,production,,,,,,,none,3,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/bos_Ret_Rate_20260729_140654,
bos,Sep_Rate,crash,,,,,,,,,,object of type 'int' has no len(),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/bos_Sep_Rate_20260729_140730,
bos,Avg_Mort,production,,,,,,,clean,6,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/bos_Avg_Mort_20260729_141632,
bos,Retirement,unavailable,,,,,,,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/bos_Retirement_20260729_141719,
chi_edu,Age_Serv_Num,scored,1.0,55,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_edu_Age_Serv_Num_20260729_141740,ok
chi_edu,Age_Serv_Wage,crash,,,,,,,,,,object of type 'int' has no len(),/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/chi_edu_Age_Serv_Wage_20260729_141807,
