plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
chi_ff,Age_Serv_Wage,scored,0.5625,45,0,0,35,0,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/chi_ff_Age_Serv_Wage_20260728_154903,
chi_edu,Age_Serv_Wage,scored,0.92,46,0,4,0,5,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/chi_edu_Age_Serv_Wage_20260728_154959,
chi_pol,Age_Serv_Wage,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | source_tables[0] holds values up to 242,234,827 - a per-person average can't exceed 1,000,000, so this is a salary-TOTALS table, not an averages exhibit. Transcribe the member-COUNTS table too and declare derive={'op':'ratio','numerator_table'",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/chi_pol_Age_Serv_Wage_20260728_155058,
chi_ff,Retirement,scored,1.0,22,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/chi_ff_Retirement_20260728_160040,
chi_gen,Retirement,scored,0.9091,20,0,0,2,0,none,3,6,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/chi_gen_Retirement_20260728_160105,
sf,Retirement,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | col_map[1] ('AverageBenefit'): the declared ratio ['Total'] / ['Total'] implies an average of 1.00 - far below 5,000, so the DENOMINATOR is not a member count. Dividing one dollar column by another dollar column is not an average. The denomina",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/sf_Retirement_20260728_161033,
sd,Retirement,scored,1.0,22,0,0,0,0,clean,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/sd_Retirement_20260728_161248,
phi,Retirement,scored,1.0,22,0,0,0,0,clean,1,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/phi_Retirement_20260728_161320,
chi_gen,Avg_Mort,production,,,,,,,clean,6,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/chi_gen_Avg_Mort_20260728_161350,
sd,Avg_Mort,production,,,,,,,clean,5,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/sd_Avg_Mort_20260728_161516,
sd,Ret_Rate,production,,,,,,,none,2,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/sd_Ret_Rate_20260728_161602,
mil,Retirement,scored,0.8182,18,0,0,4,0,none,3,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/mil_Retirement_20260728_161637,
lax_gen,Age_Serv_Wage,scored,1.0,58,0,0,0,0,none,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/lax_gen_Age_Serv_Wage_20260728_161711,
chi_gen,Age_Serv_Wage,scored,0.9831,58,0,1,0,0,clean,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_verify_s8/chi_gen_Age_Serv_Wage_20260728_161819,
