pid,planid,liability,assets,inflation_assumption,discount,wage_inf,payroll,actives_tot,inactive,retired,ActiveSalary_avg,BeneficiaryBenefit_avg,reqcont employer,pctmale,avgageret,pctmrg,df,reduct,pen,ret_liability,inact_liability,PVFB,ncrate_tot
1,aus_fir18,1084534,954574.8,0.0275,,0.03,92083.22,1102,8,822,41.9,,0.2205,,,,,,,,,,0.2952
2,aus_pol18,1185017,779484.3,,,0.03,162490.6,1892,39,906,40.5,63.5,0.21313,,,,,,,,,,0.22291
3,clt_ffp18,408278.8,258596.8,0.0275,,0.03,38432.3,858,27,788,,,0.3586,,,,,,,,,,0.1673
4,chi_edu18,22922992.56,10969085.52,0.0275,0.0681,0.03,2118062.176,28958,,28549,72.34,50.583,0.37081,0.71344305,,,,,,,,,0.1729
5,chi_edu20,24073483,11240208,0.0225,0.0637,0.03,2267288,30091,31284,28015,74.756,53.141,0.40212,0.71344305,,,,,,,,,0.176
6,chi_edu19,23252163,11021812,0.025,0.0672,0.03,2203056,29295,95,28317,74.383,51.878,0.37691,0.71344305,,,,,,,,,0.1736
7,aus_gen18,3989600,2695400,0.0275,0.075,0.03,664300,9838,,6414,67.527,30.605,0.1937,0.61,,,,,,,,,0.1746
8,aus_gen20,4701200,3069200,0.025,0.07,0.03,729300,10138,1264,6963,71.933,32.062,0.2102,0.61,,,,,,,,,0.1704
9,aus_gen19,4487900,2849000,0.025,0.07,0.03,707500,10149,1271,6703,69.715,31.351,0.2155,0.61,,,,,,,,,0.1729
10,dc_ffp18,5223760,5848576,0.035,0.065,0.03,454209,5349,,3441,84.915,32.498,0.1944,,,,,,,,,,0.3945
11,dc_ffp20,6023843,6676013,0.035,0.065,0.03,507348,5377,683,3929,94.355,37.31,0.2098,,,,,,,,,,0.4025
12,dc_ffp19,5604573,6269628,0.035,0.065,0.03,495809,5406,676,3699,91.715,34.851,0.2051,,,,,,,,,,0.3966
13,dc_edu18,2301314,2139911,0.035,0.065,0.03,470749,5066,,3990,92.923,19.182,0.1167,,,,,,,,,,0.1587
14,dc_edu20,2640803,2431075,0.035,0.065,0.03,551835,5531,6227,4071,99.771,20.97,0.1226,,,,,,,,,,0.1497
15,dc_edu19,2494291,2271160,0.035,0.065,0.03,516609,5226,6324,4059,98.854,20.163,0.1232,,,,,,,,,,0.1458
16,fgo_pol18,75095.34,58589.68,0.0275,,0.03,12669.72,195,12,116,37.65,66.1,0.142,,,,,,,,,,0.1758
17,den_gen18,3623670,2255412,0.025,0.075,0.03,692151,9210,6118,8399,75.152,22742,0.2035,0.54,,,,,,,,,0.0956
18,den_gen20,3947667,2378772,0.025,0.0725,0.03,719481,8958,43,10538,80.746,22.515,0.2439,0.54,,,,,,,,,0.082
19,den_gen19,3727787,2300324,0.025,0.075,0.03,732000,9401,6324,8554,78.453,23123,0.2432,0.54,,,,,,,,,0.0835
20,den_edu18,4248602,3261338,0.024,0.0725,0.03,722040,16148,,7156,44.714,38.926,0.1042,0.41,,,,,,,,,0.1227
21,den_edu20,4532546,3682072,0.023,0.0725,0.03,771347.6,14693,2728,7134,52.498,39.024,0.0925,0.41,,,,,,,,,0.1333
22,den_edu19,4263384,3410264,0.024,0.0725,0.03,736263.8,15679,3209,7148,46.959,38.655,0.0822,0.41,,,,,,,,,0.1219
23,hou_fir18,4948133,4027079,0.03,,0.03,260301,4041,,3307,64.415,51.208,0.3716,,,,,,,,,,0.2759
