FIPS,planid,pctmrg,reduct,pctmale,inactive_adj
4,AZ06_2022,1,0.5,0.3194,0.34
4,AZ127_2022,0.662050678,0.8,0.648202711,1
6,CA10_2022,0.706239586,0.5,0.281197932,0.087458935
6,CA111_2022,0.75,0.5,0.5,0.27551746
6,CA144_2022,0.65,0.5,0.5,1
6,CA43_2022,0.625,0.65,0.396961249,1
6,CA97_2022,0.61,0.6,0.3,1
6,CA98_2022,0.635,0.5,0.5,1
11,DC20_2022,0.64,0.55,0.33,1
12,FL26_2022,0.8,0.5,0.37,1
13,GA27_2022,0.8,0.5,0.5,1
13,GA28_2022,1,0.5,0.333333333,0.053781482
17,IL32_2022,0.718538043,0.377600719,0.370760853,0.078460522
17,IL33_2022,0.756,0.44,0.53,1
17,IL34_2022,0.85,0.5,0.234545853,1
18,IN37_2022,1,0.5,0.26048438,1
22,LA130_2022,0.7,0.5,0.764965566,0.031961858
22,LA163_2022,0.8,0.5,0.5,1
22,LA44_2022,0.8,0.5,0.5,1
25,MA50_2022,0.8,0.6666,0.5,1
25,MA51_2022,0.8,0.5,0.228,0
23,ME47_2022,0.8,0.66,0.5,1
26,MI53_2022,0.7,0.5,0.333333333,1
29,MO175_2022,0.55,0.5,0.5,1
29,MO64_2022,0.7,0.5,0.232043846,1
38,ND82_2022,0.75,0.5,0.251149531,1
34,NJ71_2022,1,0.5,0.400646255,0.094603809
34,NJ73_2022,0.75,0.5,0.230367123,1
35,NM74_2022,1,0.5,0.23,1
36,NY78_2022,0.8,0.5,0.23647365,1
36,NY83_2022,1,0.5,0.43,1
39,OH88_2022,0.8,0.4,0.28,0.110295207
40,OK134_2022,0.85,1,0.5,1
41,OR91_2022,1,0.5,0.5,0.264176137
42,PA92_2022,0.8,0.5,0.273125085,1
42,PA93_2022,0.8,0.5625,0.561042164,1
44,RI96_2022,0.8,0.5,0.5,0.08
45,SC100_2022,1,0.5,0.310322963,1
45,SC99_2022,1,1,0.742,1
48,TX108_2022,0.8,0.5,0.224,1
