plan,tier,tier_startdate,threshold_age,reduction_pct_per_year,source,candidates_found
AZ06,1,1963-01-01,65,6.0,assumed_no_rate_found,
AZ06,2,1984-01-01,65,6.0,assumed_no_rate_found,
AZ06,3,2011-07-01,65,6.0,assumed_no_rate_found,
AZ127,1,1963-01-01,62,6.0,assumed_ambiguous,2.5|4.0|12.0
AZ127,2,2012-01-01,62,6.0,assumed_ambiguous,2.5|4.0|12.0
AZ127,3,2018-07-01,55,6.0,assumed_ambiguous,2.5|4.0|12.0
CA10,1,1963-01-01,63,2.0,extracted_weak_plan_level,2.0
CA10,2,2013-01-01,65,2.0,extracted_weak_plan_level,2.0
CA111,1,1963-01-01,60,6.0,extracted_weak_plan_level,6.0
CA111,2,2013-07-01,65,6.0,extracted_weak_plan_level,6.0
CA111,3,2016-07-01,65,6.0,extracted_weak_plan_level,6.0
CA144,1,1963-01-01,62,6.0,assumed_ambiguous,0.75|1.0|1.25|1.5|2.0|2.2|2.25|2.5|3.0|3.05|7.0
CA144,2,2002-07-01,62,6.0,assumed_ambiguous,0.75|1.0|1.25|1.5|2.0|2.2|2.25|2.5|3.0|3.05|7.0
CA144,3,2009-07-01,62,6.0,assumed_ambiguous,0.75|1.0|1.25|1.5|2.0|2.2|2.25|2.5|3.0|3.05|7.0
CA144,4,2012-01-01,62,6.0,assumed_ambiguous,0.75|1.0|1.25|1.5|2.0|2.2|2.25|2.5|3.0|3.05|7.0
CA43,1,1963-01-01,65,6.0,assumed_no_rate_found,
CA43,2,1977-09-01,65,6.0,assumed_no_rate_found,
CA43,3,1978-10-01,65,6.0,assumed_no_rate_found,
CA43,4,1979-06-01,65,6.0,assumed_no_rate_found,
CA43,5,1982-01-01,65,6.0,assumed_no_rate_found,
CA43,6,2013-01-01,67,6.0,assumed_no_rate_found,
CA97,1,1963-01-01,60,6.0,assumed_no_rate_found,
CA97,2,2009-08-28,62,6.0,assumed_no_rate_found,
CA97,3,2013-01-01,67,6.0,assumed_no_rate_found,
CA97,4,2018-07-01,70,6.0,assumed_no_rate_found,
CA98,1,1963-01-01,62,6.0,assumed_no_rate_found,
CA98,2,2010-07-01,62,6.0,assumed_no_rate_found,
CA98,3,2012-01-07,65,6.0,assumed_no_rate_found,
DC20,1,1963-01-01,62,6.0,assumed_no_rate_found,
DC20,2,1996-11-01,62,6.0,assumed_no_rate_found,
FL26,1,1963-01-01,65,6.0,assumed_ambiguous,2.0|3.0|3.25|5.0
FL26,2,2011-07-01,68,6.0,assumed_ambiguous,2.0|3.0|3.25|5.0
GA27,1,1963-01-01,60,7.0,extracted,7.0
GA27,2,1982-07-01,60,7.0,extracted,7.0
GA27,3,2009-01-01,60,7.0,extracted,7.0
GA28,1,1963-01-01,60,6.0,assumed_no_rate_found,
IL32,1,1963-01-01,60,6.0,assumed_ambiguous,2.0|4.0
IL32,2,2011-01-01,67,6.0,assumed_ambiguous,2.0|4.0
IL33,1,1963-01-01,60,6.0,assumed_ambiguous,6.0|12.0
IL33,2,2011-01-01,67,12.0,extracted,12.0
IL34,1,1963-01-01,60,6.0,extracted,6.0
IL34,2,2011-01-01,67,6.0,extracted,6.0
IN37,1,1963-01-01,63,12.0,extracted_weak_plan_level,12.0
IN37,2,1963-01-01,63,12.0,extracted_weak_plan_level,12.0
LA130,1,1963-01-01,55,6.0,assumed_ambiguous,4.5|15.0
LA130,2,2013-01-01,55,6.0,assumed_ambiguous,4.5|15.0
LA163,1,1963-01-01,55,3.0,extracted,3.0
LA163,2,2015-09-01,55,3.0,extracted,3.0
LA44,1,1963-01-01,60,6.0,assumed_ambiguous,2.0|3.33|3.5
LA44,2,2006-07-01,60,6.0,assumed_ambiguous,2.0|3.33|3.5
LA44,3,2015-07-01,62,6.0,assumed_ambiguous,2.0|3.33|3.5
MA50,1,1963-01-01,65,6.0,assumed_no_rate_found,
MA50,2,1975-01-01,65,6.0,assumed_no_rate_found,
MA50,3,1979-01-01,67,6.0,assumed_no_rate_found,
MA50,4,1984-01-01,67,6.0,assumed_no_rate_found,
MA50,5,1996-07-01,67,6.0,assumed_no_rate_found,
MA50,6,2012-04-02,67,6.0,assumed_no_rate_found,
MA51,1,1963-01-01,65,6.0,assumed_no_rate_found,
MA51,2,1975-01-01,67,6.0,assumed_no_rate_found,
MA51,3,1979-01-01,67,6.0,assumed_no_rate_found,
