planid,inactive_adj
AZ06_2022,0.34
AZ127_2022,1
CA10_2022,0.087458935
CA111_2022,0.27551746
CA144_2022,1
CA43_2022,1
CA97_2022,1
CA98_2022,1
DC20_2022,1
FL26_2022,1
GA27_2022,1
GA28_2022,0.053781482
IL32_2022,0.078460522
IL33_2022,1
IL34_2022,1
IN37_2022,1
LA130_2022,0.031961858
LA163_2022,1
LA44_2022,1
MA50_2022,1
MA51_2022,0
ME47_2022,1
MI53_2022,1
MO175_2022,1
MO64_2022,1
ND82_2022,1
NJ71_2022,0.094603809
NJ73_2022,1
NM74_2022,1
NY78_2022,1
NY83_2022,1
OH88_2022,0.110295207
OK134_2022,1
OR91_2022,0.264176137
PA92_2022,1
PA93_2022,1
RI96_2022,0.08
SC100_2022,1
SC99_2022,1
TX108_2022,1
