planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
phx_gen19,phx,gen,19,1,phx_gen19_t1,20,24,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,25,29,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,30,34,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,35,39,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,40,44,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,45,49,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,50,54,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,55,59,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,60,64,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,65,70,0,4,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,20,24,5,9,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,25,29,5,9,107.1546392,392.44
phx_gen19,phx,gen,19,1,phx_gen19_t1,30,34,5,9,313.8100147,2158.42
phx_gen19,phx,gen,19,1,phx_gen19_t1,35,39,5,9,229.6170839,4709.28
phx_gen19,phx,gen,19,1,phx_gen19_t1,40,44,5,9,176.0397644,6965.81
phx_gen19,phx,gen,19,1,phx_gen19_t1,45,49,5,9,176.0397644,8633.68
phx_gen19,phx,gen,19,1,phx_gen19_t1,50,54,5,9,145.4241532,9811
phx_gen19,phx,gen,19,1,phx_gen19_t1,55,59,5,9,122.4624448,9320.45
phx_gen19,phx,gen,19,1,phx_gen19_t1,60,64,5,9,91.84683358,3237.63
phx_gen19,phx,gen,19,1,phx_gen19_t1,65,70,5,9,38.26951399,
phx_gen19,phx,gen,19,1,phx_gen19_t1,20,24,10,14,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,25,29,10,14,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,30,34,10,14,99.50073638,
phx_gen19,phx,gen,19,1,phx_gen19_t1,35,39,10,14,313.8100147,
phx_gen19,phx,gen,19,1,phx_gen19_t1,40,44,10,14,214.3092784,
phx_gen19,phx,gen,19,1,phx_gen19_t1,45,49,10,14,199.0014728,
phx_gen19,phx,gen,19,1,phx_gen19_t1,50,54,10,14,176.0397644,
phx_gen19,phx,gen,19,1,phx_gen19_t1,55,59,10,14,191.34757,
phx_gen19,phx,gen,19,1,phx_gen19_t1,60,64,10,14,114.808542,
phx_gen19,phx,gen,19,1,phx_gen19_t1,65,70,10,14,45.92341679,
phx_gen19,phx,gen,19,1,phx_gen19_t1,20,24,15,19,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,25,29,15,19,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,30,34,15,19,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,35,39,15,19,91.84683358,
phx_gen19,phx,gen,19,1,phx_gen19_t1,40,44,15,19,267.8865979,
phx_gen19,phx,gen,19,1,phx_gen19_t1,45,49,15,19,221.9631811,
phx_gen19,phx,gen,19,1,phx_gen19_t1,50,54,15,19,176.0397644,
phx_gen19,phx,gen,19,1,phx_gen19_t1,55,59,15,19,168.3858616,
phx_gen19,phx,gen,19,1,phx_gen19_t1,60,64,15,19,122.4624448,
phx_gen19,phx,gen,19,1,phx_gen19_t1,65,70,15,19,45.92341679,
phx_gen19,phx,gen,19,1,phx_gen19_t1,20,24,20,24,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,25,29,20,24,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,30,34,20,24,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,35,39,20,24,,
phx_gen19,phx,gen,19,1,phx_gen19_t1,40,44,20,24,61.23122239,
phx_gen19,phx,gen,19,1,phx_gen19_t1,45,49,20,24,214.3092784,
