planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
sf_gen19,sf,gen,19,1,sf_gen19_t1,20,24,0,4,35,
sf_gen19,sf,gen,19,1,sf_gen19_t1,25,29,0,4,294,
sf_gen19,sf,gen,19,1,sf_gen19_t1,30,34,0,4,216,
sf_gen19,sf,gen,19,1,sf_gen19_t1,35,39,0,4,93,
sf_gen19,sf,gen,19,1,sf_gen19_t1,40,44,0,4,31,
sf_gen19,sf,gen,19,1,sf_gen19_t1,45,49,0,4,15,
sf_gen19,sf,gen,19,1,sf_gen19_t1,50,54,0,4,20,
sf_gen19,sf,gen,19,1,sf_gen19_t1,55,59,0,4,14,
sf_gen19,sf,gen,19,1,sf_gen19_t1,60,64,0,4,2,
sf_gen19,sf,gen,19,1,sf_gen19_t1,65,70,0,4,1,
sf_gen19,sf,gen,19,1,sf_gen19_t1,20,24,5,9,,
sf_gen19,sf,gen,19,1,sf_gen19_t1,25,29,5,9,34,
sf_gen19,sf,gen,19,1,sf_gen19_t1,30,34,5,9,186,
sf_gen19,sf,gen,19,1,sf_gen19_t1,35,39,5,9,119,
sf_gen19,sf,gen,19,1,sf_gen19_t1,40,44,5,9,42,
sf_gen19,sf,gen,19,1,sf_gen19_t1,45,49,5,9,24,
sf_gen19,sf,gen,19,1,sf_gen19_t1,50,54,5,9,8,
sf_gen19,sf,gen,19,1,sf_gen19_t1,55,59,5,9,12,
sf_gen19,sf,gen,19,1,sf_gen19_t1,60,64,5,9,,
sf_gen19,sf,gen,19,1,sf_gen19_t1,65,70,5,9,,
sf_gen19,sf,gen,19,1,sf_gen19_t1,20,24,10,14,,
sf_gen19,sf,gen,19,1,sf_gen19_t1,25,29,10,14,,
sf_gen19,sf,gen,19,1,sf_gen19_t1,30,34,10,14,46,
sf_gen19,sf,gen,19,1,sf_gen19_t1,35,39,10,14,201,
sf_gen19,sf,gen,19,1,sf_gen19_t1,40,44,10,14,122,
sf_gen19,sf,gen,19,1,sf_gen19_t1,45,49,10,14,74,
sf_gen19,sf,gen,19,1,sf_gen19_t1,50,54,10,14,25,
sf_gen19,sf,gen,19,1,sf_gen19_t1,55,59,10,14,7,
sf_gen19,sf,gen,19,1,sf_gen19_t1,60,64,10,14,2,
sf_gen19,sf,gen,19,1,sf_gen19_t1,65,70,10,14,2,
sf_gen19,sf,gen,19,1,sf_gen19_t1,20,24,15,19,,
sf_gen19,sf,gen,19,1,sf_gen19_t1,25,29,15,19,,
sf_gen19,sf,gen,19,1,sf_gen19_t1,30,34,15,19,,
sf_gen19,sf,gen,19,1,sf_gen19_t1,35,39,15,19,13,
sf_gen19,sf,gen,19,1,sf_gen19_t1,40,44,15,19,100,
sf_gen19,sf,gen,19,1,sf_gen19_t1,45,49,15,19,108,
sf_gen19,sf,gen,19,1,sf_gen19_t1,50,54,15,19,71,
sf_gen19,sf,gen,19,1,sf_gen19_t1,55,59,15,19,19,
sf_gen19,sf,gen,19,1,sf_gen19_t1,60,64,15,19,5,
sf_gen19,sf,gen,19,1,sf_gen19_t1,65,70,15,19,,
