"fy","Forecast","Sd","Median","Lo80","Hi80","Lo95","Hi95"
2017,0.629558930579886,0,0.629558930579886,0.629558930579886,0.629558930579886,0.629558930579886,0.629558930579886
2018,0.652219152007043,0.071860279763445,0.65198624039892,0.59158497021435,0.712801337601483,0.534977831591711,0.771568279025139
2019,0.673948884849956,0.106343002153161,0.669674001274132,0.58174067832526,0.763329679361309,0.508670190672838,0.854234842637353
2020,0.696499213081312,0.134911230613346,0.689244170431691,0.581569083204525,0.806138120475896,0.489170925309733,0.930689194721386
2021,0.719205466474384,0.162416685556448,0.706191635929752,0.582160448226831,0.853232465072421,0.472737652440412,1.00496215790696
2022,0.740867825572402,0.186185974364752,0.724265707051991,0.581476767732948,0.893038141662379,0.461990904331177,1.07075412323755
2023,0.761196260282316,0.208621432258769,0.743530409152953,0.579229512802621,0.934197488040348,0.451431727134899,1.12892389377185
2024,0.780051238024525,0.22975047121489,0.76280434054874,0.582069339376694,0.966661539639931,0.440246787228811,1.18296982696981
2025,0.797719032242096,0.250206340218747,0.778732361894182,0.581419471071547,1.00257847121782,0.42900600829512,1.23435061793375
2026,0.814470197552828,0.270436963834521,0.793127582256993,0.57871087720954,1.02470324347084,0.418401370598662,1.28391055798277
2027,0.828504263931986,0.290858601382244,0.805288079339661,0.580461111947035,1.05182730470653,0.409104622600297,1.33459024017823
2028,0.84366640698253,0.311837469679091,0.81735480305149,0.580482440786339,1.07383137749271,0.396284733624522,1.39336399006769
2029,0.857647114608592,0.33584214412615,0.82684017336545,0.576847164433828,1.10043451471741,0.383578324884516,1.44916477411954
2030,0.872042085722491,0.358510232443352,0.841955929812445,0.570081912205452,1.12688716496914,0.373393328772504,1.50507672493657
2031,0.884432023220813,0.38118047615939,0.84897704712742,0.568823876485518,1.14086086633191,0.35334607513064,1.56039240824941
2032,0.897566266347797,0.408509965434145,0.85964459880157,0.562864655852227,1.16740980621926,0.33319033815012,1.62444643558063
2033,0.911241641501965,0.437666514390602,0.866167664051489,0.556459744442406,1.19906586222498,0.313142637724146,1.69856603802991
2034,0.922660682572566,0.467904617823699,0.871207595785751,0.546657084328033,1.21965730391941,0.290492785673715,1.75717290340272
2035,0.93373026710703,0.505182557782573,0.877454156630304,0.534008182127776,1.24365482320576,0.262349343510468,1.83881642594612
2036,0.943946201115661,0.545031046036678,0.883929663600277,0.514307444545421,1.27471889615862,0.22639748546068,1.92554483483071
2037,0.952103871167434,0.586560544450445,0.882394613487137,0.492520759277676,1.30019717692407,0.180677028866424,2.0260685042232
2038,0.961337499611896,0.640730488079225,0.878689568366006,0.464387357381359,1.33085024575763,0.13377400875682,2.11722217398143
2039,0.966695008621903,0.694834479709912,0.867468660082619,0.436149817569343,1.34321408218244,0.0754341752523138,2.22610990298142
2040,0.969672797670449,0.755355389880837,0.858273683480798,0.3938720872998,1.36508643993683,0.00811863346381477,2.33745006359225
2041,0.970305229232592,0.815879937213914,0.848278952946421,0.343278211474464,1.39232999086569,0,2.47949016209081
2042,0.972010965007915,0.897091941264667,0.826215968727316,0.279229911578445,1.41347127153725,0,2.61793419767629
2043,0.969800377429394,0.97091591116096,0.804402076748266,0.204815081991683,1.42481930759727,0,2.80588042767398
2044,0.967604390238127,1.06495088593453,0.768029488210857,0.113380258445741,1.43481080869675,0,2.98175250552421
2045,0.959704363940171,1.15702860508846,0.722960993577108,0.00550382320886847,1.43268350769178,0,3.16772763804028
2046,0.951153688797702,1.26109045708224,0.661836596586218,0,1.42375551843922,0,3.3583200538779
2047,0.94367531979491,1.37863655256906,0.582839801841732,0,1.40105721358176,0,3.58595793025579
2048,0.943843831519116,1.53350772948784,0.490635449467254,0,1.37564593260871,0,3.87349614003261
2049,0.942654486021809,1.70275604428425,0.364205533315516,0,1.3376510666469,0,4.14304240606116
2050,0.94030293177447,1.88941224005205,0.2059860504385,0,1.28362131786796,0,4.4137439761988
