Name,City,Plan,Plan Year,Firm,AV,CAFR
dal_data19_gen,dal,gen,19,GRS,Tx_Dallas_ERF_AV_2019_201.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/AYnfco7cYwmzPQLCctWkAQ/C6feMtrIRIg-oQZggOmdpm_of4cMCKJvh9XMGWiaYxAjt9zp4ThJO16Io9cV7mjSOAGupHqL5i5FDIdExebZ0Z7qkGq4jc_2EJecPhhSo6Niwvlue18wFlrKmnpj1FJIaCANeSbeoSnNDVVEHdCGAYaqRbdQRa4QJVNNK4ZDp6A/euadCw6wQXYa-LGHMgyLy5N7pMmj8_OmTuAAEqU-sGY),Tx_Dallas_ERF_CAFR_2019_201.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/6t90redkYJgg9csbHtKrzQ/30aPYHKu2Ft9Y4kD3eX82ytQMjLNmXB7b9WUdzbRSdX-2sKqDqBGmRHSQWxz_nmeo09KVt7sTV1BQzql011x5JnenW1bkThzF5AvqGCFiZEWiDTS4Mj9Hga7b1y5FFvUqiq1V5YmDbxUhK_jWU0kMc3ntIMP7owVxjkut36foSE/w_29DrpUexPDKV-UWngEyHmv_2dBepOOU8b7-70_n08)
phi_data19_gen,phi,gen,19,Cheiron,PA_PHILADELPHIACITY-MPERS_AV_2019_152.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/FRoGmFWXQi4g062siUGRoQ/J7UlUt2yEufvsrNqy_YyPsb9HL3lFlVHtPb15Ddv32fbwU0uGSRRdChw5-rN2Zd2yKDOk5Q6K3GVlgmSW7rHW7AMJ_bNG9ED54lvHiu49RTB57ZqtWwvdmkRmuIHxn5j5AIQkS0st6GDKe-5SZESh_B9eDbBEAdqiVV_pk96teafQBOgD6z4zpXoyfjp2QXB/oD-afJinjtksE8oxnL9SncS1O5ivw_fRj_vcmRkZnB4),muni-pension-financials-FY2019.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/HrTfvkY9epo22gn-t04_3g/MsuJixQOXi-aAlIOxFLEdIRwhC4YIiNiaHoWX5KUAn-jHSna8MUhfbHZfsYZFRAdDGto-oPKgWQ8BTsjA4cPIBRxLKaR9Oc-yPhShv8_FTtgpzQvzBSupXm6nJm9BdnU6pj5LKk-GxzAKyIGGxwq_Qp_8MzUMIGJhTskLBEqtlQ/ipDMm_rv-ALytrwmTyR6P_EK2S-3Zn5JpFzcGDTz7Sw)
chi_data19_ff,chi,ff,19,Segal,IL_CHICAGOCITY-FABF_AV_2019_206.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/S3Szvdd3qjU-H5ASLHuEXg/xMcXv8R5DcKp1uD2Odof6_KOIp3SmqwZGZKwGRsQd5efktJUrI6j1YeaHx2np8g3gL60fe5JKiomUrtBUC4DkConw_lAz0sT-7UmF1bX0zJcZFpQA2FiZhursAXA5uum1IUBh2zkuNVSCKhramdwCY1b4FLTyM079M44Jgl-ajk/Cw-z3sDNfLClJJtkaSNQ0wYM25I9Q2yfyFh4i8EAw5M),IL_CHICAGOCITY-FABF_FinancialStatements_2019_206.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/_A0QfaNKd8Q3H3-Q1j5dJA/SrJ7o4o5J9F950gcESNEuIzxTfLLaK7VCSkPHveAje-oJAJXlMsQwZ9nfbaIHeaBFhSHxIVkETAXxiQmgMJK2a_mr4wKTWTadWo5t7XI4-454ndLyfbSsf2IM9JiaaUJ2533Ey0ON5TaTxXUrP18mdr_z0juavHeteQ-mIIAWYRxcazYLVzUyOqmFcLiEN5n/Ad9hBQD3KpZ-YL3NGko8gc-j4PPBzphd1iyna9QXm7w)
hou_data19_pol,hou,pol,19,GRS,TX_HOUSTONCITY-HPOPS_AV_2019_208.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/-wSPM71SmzCOqUCwIoKJRg/B2nJt25rtCrhCoxRWKihMUgXaPsRXniD9j-PousE1qETw8xdH7Ez-itf9K3lKXrQoTjj6tpL4o_CCtYHVY1M1kZ6dVeQoLLbGWGuY8xSHnVbpCZ1Y5EP7o7kTvOTx__NDtuIQQzBMXy0ukxLom-trLPuens9kCpd8KpBrosQ8cw/Ds9SmkPH8yRF9sxi3j3GIn4enMKvixF42_nUZ4SXBH4),TX_HOUSTONCITY-HPOPS_CAFR_2019_208.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/gjwvzaBzZgwx_gS4Yb82GQ/4KzkfCnwvSvonvu70PGSJu9FPN4YenZMe8-bIMhFA1Lmne2LuDJPMxyFBdo0hQooP7AcTuWTrSiMsCrevSxJul9BHJ2iAbtzYu7JWa4svHnna78u8t1oOR9-TxvpFyRva_9iQtHAmWL3dL4hE8-28qopng1NKkGAUIy03gC8T89PMcxKHlTL00b-PoLrtxiX/1RT7g2JyIobQ8Lo4b6_MQiLYLqNuNSUV3g2sHaPZ7nM)
phx_data19_gen,phx,gen,19,GRS,AZ_PHOENIXCITY-COPERS_AV_2019_94.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/kS3pppQgkKNn6dzXaG1SAg/Uau4I75N_bYZ2v6b4_K82MAbCaHor6Dsf2Jk1oEhFyiurfaV_Rf_DghJb3UxIFfnYQZcOYcVL88m7l0gKZo1uh_MVWIvsX-iJP9wdIsRa20Ph6Etz9f-QWZaF7aobpQyRg0Qc_P1OvzzEj4xKBs9t73MLWRhu28vNYNj72hN-mg/4Ut1BDYdNWIqm2peT9R2qd6NaCnVf46PHUqXc4DAI90),AZ_PHOENIXCITY-COPERS_CAFR_2019_94.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/wncxxuyeb_rEA8EwM-5cvg/OgVsehYK55UImOT1EeGRED4uPMuxBlvG3B_6__wxhEpoIwxjD4uOmCNEC_QuulT5DN3D9Fk_E80Iynn1x1lr0WWRhOEqo4msOcABDD0reYt1_YC9l0BTnygDiBPsUswdHEebFWPCFAXjgPNvkbgDZuhDT5fFAv3867eNUOGXHOlWmw1ccsQnozJNx3zILKie/OuHHVOAvuEmmIOZ51kJhHQOGfp3N8RxgdMFsY0Wu8Js)
chi_data19_gen,chi,gen,19,Segal,IL_CHICAGOCITY-MEABF_AV_2019_145.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/smXWNUFj7qM41EnQk5_4TA/HayZTeP3o6coxYpujW2FK24PkE6IXz7vNH9_ktIQz8F8cSOTkWwgbxpDBj2qzTzH46l6nLLDMELF9BxSg6xnCn2XHxwIRq9tYSOytkNfMBdkHmpX_y3CIYMuQZ05NbSJmYa8CQprBx4Fgj_3yTG0uyN4i99tRgKuz8iTTXo4S-E/nvVHLJaFg1umclaffezA-GIpt_Qf0HjEzOWaSXmhRZg),IL_CHICAGOCITY-MEABF_CAFR_2019_145.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/vKlJ30b_OnOj6AihhcUysA/c2AyLNshiRM8ZHo5MKWHDBsTZTpJ8n-w3ozrQxUWa2e-btJYFEfhG8AxjldKqp3O_xNLa_EVBatruazwTblULLxs4lJ_kBRzU7cjyrqxYUui8SIH9ipRfvdO6pWW6vNdDUU3YGTC1uiwH8J-NnJztcO5osqt-olEHuU77KIaDmYoHcJbZ8mnllzcSdTIeHXi/_nnWZSDlDk3VNEFdZjio8fFbLagq-xzCuxtIIVdRmk4)
chi_data19_pol,chi,pol,19,GRS,IL_CHICAGOCITY-PABF_AV_2019_146.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/H6z5u5jCkp-4PcKFgpicaA/WD5KLzhSUnbt6kp-TZNQ2lTmvjUMtlPxRFD-ZlDskcbI_cZazMbARGxUIzH3JD_7UJ1Y6sS6gYNMV3nESIjvDudr6gTXYzB_N8XXxsPWk3ZYrplXAU7D2c1IASeTlIstZHHuWX7q6osu1dq88XMehVh2Kptb-t00CRWNKkB37XM/B8SKIAWuwea_HwERfksEr8yPzzo83O1XL5aiWeM36Bg),
den_data19_gen,den,gen,19,Cheiron,CO_DENVERCITYCOUNTY-DERP_AV_2019_22.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/2-IpUpioUkGEStKM6FM-zQ/621AyVGbQ7vwUTXjgr1j21dlvXDkkXSZuFXm0AKV_AionoQH5Kv8G8v5J-aaZc4bvrlT_Er7UWUe_0fRaGEB6uPsr7buXxOiwaTvF7EfbL1xjfuKNR_FQV6-jy2OjY9Ix1gAZaltkGSAwi8seOoE5GF2XcZZjxRZwKtp1nXTt1Bl-eDzl1eYXvr-hGqJkUgy/_Pf-8yobtZ26xlWzgdmkV1_hEdDW9NR5S82kLCphAFk),CO_DENVERCITYCOUNTY-DERP_CAFR_2019_22.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/o6H-30ClS1pKNZuWXUxhyw/cTKhEnFA2oaOpTsUlRbVD9rCcvLlomJAbXBhKntf7kRLWHgWLh5YuFK0xqxAHtACkKtFYX7SIZWISHuamf9QsyRN4YMDiX1w8TwmIG4fZIF8bzTOWxGzwymyotQchRuYV2xu0BFOPnNJDcEe0UXhE9ht16A-AaTjeJudxEQj4dC3HXPzq-FJRJDTN8pjP7ng/X6nmzetGZopUpYTN0bQ0x7LtOcn2HkafddnBw9l8KnU)
chi_data19_edu,chi,edu,19,Segal,IL_CHICAGOCITY-CTPF_AV_2019_11.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/c1hBQrD6YApbylkOLXi78g/GkOqIJue8PEmdQVeBmcDKltYCIKg61yJ0fZuUeef7rh2cvYPfqZdmPFMT9c2YsPEb0qAfpaq0ozQKGjPndj3G1zIF-SKqP8QrGqMYwQ46cr4loA78oJ52tF-AJcintpK-jGG1VdqUbr7Ps4mjjpGgzlhoh6KONei-b-2AaO9n_o/rYJfF38nPDLvo45IJ_BrNnMz6fYcbU1yVWLcitDelrg),IL_CHICAGOCITY-CTPF_CAFR_2019_11.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/GEPa2KixrJXuJmrXczpUYw/f8Y6L4J-zVU11dyGo_ZfNXhRV9ugoRvQD7TSrp7JZ5puD-8tHDhWpdS-MFnzdoInEtUFett3-bjXgtaFHN5wO85pMQMHZKkTGvyRg1xHWsKQEXXF6DKTvCiyuXho-xyRw8lnp8MGLH3_Bh6IqEKcS3mpp6XNBHXf0iyZctN8Vcs/fpyWjwG2IvAy4VBie9ZxCRrWja78WGLLIdkv6V48F8s)
lax_data19_uty,lax,uty,19,Segal,CA_LACITY-DWP_AV_2019_141.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/YXM6Z0yymr8iS-2Vxqraxw/Hofx7s4-zuW4KeooeejDEzLFo_hSQcmPLJ7E9GNt33_8fRp5wqacsYjycbuQ3fKpIgUNhFA3VTD5hDYZmvVqNXH56VUizfObvAUNcEt7YJofGHCMdxhq9ns_9xkoclNGMUANebc07jK9hCq1jfWsyb9OsuI4mHoc_OUI26Fp3RQ/d5FCyUd8y_KIgAawYZvA4EfrN2eIFgQTxZgIC1emZTI),CA_LACITY-DWP_CAFR_2019_141.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1781200800000/HFEEJZw-BUtFEZN86oia_A/DNGPyFKIdXoAea8iyFCFWBDCEb_4fs4HIJRkSiAszoXmYjRD9EaaFU7sV3y4oepgZACxo9O8jA6MJmFmnEdCeZLsXv0lNrwainQbXVnYr_UvsP8DpZjDmLOtiOq81In3qaHoIUkjKkMLzccBmn7yww6MNdL18E_F6Onb2w1reAM/J2JrN4WXPBNsgOTC2iUN_l3ju5eva0bjCA5xObh7z2E)
