FIPS,planid,liability,assets,discount,method,benefitfactor,benefitfactor_new,cola,wage_inf,payroll,actives,inactive,retired,avgsalary,avgbenefit,reqcont,employeecont,employercont,totalcontr,pctmale,avgageret,nr,nr_new,pctmrg,reduct,pen,actgrowth20,actgrowth30,actgrowth40,actgrowthnat,actgrowthst,vesting,er,new_cola,new_vesting,new_er,ret_liability,inact_liability,PVFB,inflation,yrsal,new_yrsal,fiscal_year,ncrate_tot,calfct1,calfct2,calfct3,Mortality,ret_2019_0,ret_2020_0,ret_2019_1,ret_2020_1,ret_2019_3,ret_2020_3,ret_2019_5,ret_2020_5,at_2017,at_2018,at_2019,at_2020,est
4,AZ06_2017,52189000.27,36806856.33,0.075,1,0.021125,0.021125,0,0.027,9598270.045,206055,70058.7,145641,46581.10809,20129.35066,0.106902493,0.112442867,0.109727898,0.223696978,0.3194,70.9,65,65,1,0.5,0.03,0.0064,0.0062,0.0097,0.0036,0.0079,5,30,0,5,30,29520334.41,2516151.397,59322314.15,0.023,3,5,2017,0.1585211,1.240383033,0.687600454,-0.005038262,1,-0.016511127,0.211841712,-0.016511127,0.208113822,-0.016511127,0.221085616,-0.016511127,0.230223844,36202756,38491948,39825144,39167586,0
4,AZ127_2017,3624379.882,1795711.132,0.074,1,0.025,0.025,0.0225,0.035,619984.711,13958,2942,5091,44417.87584,27423.23434,0.2877,0.068794922,0.148835821,0.219533437,0.648202711,64.1,62,62,0.662050678,0.8,0.06,0.0064,0.0062,0.0097,0.0036,0.0079,10,25,0.005,10,25,1845299.461,34795.718,4267402.495,0.025,3,5,2017,0.1616,1.505279858,0.153042216,-0.001559048,1,0.034349923,0.211531136,0.034349923,0.207801622,0.034349923,0.220778875,0.034349923,0.229920622,1353330,1439581,1539625,1592511,0
6,CA10_2017,286950000,2.00E+08,0.07,1,0.024,0.024,0.02,0.035,31136000,445935,39001,294874,69821.9986,47820,0.255620504,0.110511402,0.213626188,0.32413759,0.281197932,73.5,63,65,0.706239586,0.5,0.06,0.005,0.0023,0.0052,0.0036,0.0037,5,50,0.02,5,50,154304000,6006000,362354000,0.0275,3,3,2017,0.202749997,1.220125961,0.811621272,-0.005582308,1,0.047410802,0.2199793,0.047410802,0.216217695,0.047410802,0.22930685,0.047410802,0.238527825,183203556.5,195216731.3,207843279.2,NaN,1
6,CA111_2017,72965272,61884530,0.0725,1,0.025,0.025,0.02,0.035,12412591.67,129382,35647,72995,95938.00354,41646.50345,0.239252211,0.080389143,0.230408015,0.310797158,0.5,71.4,60,65,0.75,0.5,0.06,0.005,0.0023,0.0052,0.0036,0.0037,5,25,0.02,5,25,35624022,5702843,89622021,0.03,3,3,2017,0.1738,0.916354171,0.317760956,-0.005207476,1,0.009015386,0.226323156,0.009015386,0.222596534,0.009015386,0.235563066,0.009015386,0.244696158,62114256,66838840,70343744,70977920,0
6,CA144_2017,9565802.458,6808418.225,0.0675,1,0.030333333,0.028166667,0.019,0.0305,448889.789,6388,731,9768,70271.00372,48199.00131,0.58165725,0.115814619,0.630531161,0.778422697,0.5,67.3,65,65,0.65,0.5,0.06,0.005,0.0023,0.0052,0.0036,0.0037,10,20,0.019,10,20,6702735.175,314615.177,10389659.38,0.019,1,3,2017,0.2561,1.082194435,1.972509603,0.004350539,1,-0.01545815,0.189273078,-0.01545815,0.185655129,-0.01545815,0.198243679,-0.01545815,0.20711077,7568758,8075204,8436003,8305598,0
6,CA43_2017,65310803,52166307,0.0738,1,0.02432,0.025,0.02,0.0325,7637032,97211,14243,63324,79716,49092,0.182376085,0.068950739,0.174329373,0.243280112,0.396961249,72.7,65,67,0.625,0.65,0.06,0.005,0.0023,0.0052,0.0036,0.0037,5,50,0.02,5,50,36032000,1045000,78576000,0.0275,1,3,2017,0.167000011,1.10857988,0.416442606,-0.003755101,1,0.00369796,0.184825798,0.00369796,0.18121376,0.00369796,0.193781869,0.00369796,0.202634771,52743652,56299984,58294836,58510408,0
6,CA97_2017,14937872,11566926,0.0725,1,0.029436556,0.025,0.03,0.035,1253222,17994,5659,18247,69647.00317,36492.00058,0.333549044,0.089831691,0.35015913,0.439990832,0.3,69.5,60,67,0.61,0.6,0.06,0.005,0.0023,0.0052,0.0036,0.0037,5,50,0.02,5,50,8787965,459258,17552586,0.03,1,3,2017,0.269400001,1.139407426,0.273965017,-0.007767604,1,0.003582467,0.202880385,0.003582467,0.199223847,0.003582467,0.211946596,0.003582467,0.220908099,11397065,12274479,12862922,12909003,0
6,CA98_2017,25706090,22185244,0.075,1,0.023,0.0023,0.02,0.035,3242468,33447,8420,29127,96900,45745.99838,0.170181787,0.097716924,0.170181787,0.267898712,0.5,71.19999695,62,65,0.635,0.5,0.1,0.005,0.0023,0.0052,0.0036,0.0037,5,50,0.02,5,50,15382024,464499,30545504,0.03,1,3,2017,0.1856,1.175591251,0.194779892,0.005931253,2,0.035867449,0.203893568,0.035867449,0.200135203,0.035867449,0.213213785,0.035867449,0.222428487,22410350,24557996,26078648,NaN,1
11,DC20_2017,2142491,1982019,0.065,1,0.0185,0.02,0.03,0.0425,447762,5199,1330,3899,86124.63935,18261.34906,0.126810672,0.076746129,0.126810672,0.2035568,0.33,68.76,62,62,0.64,0.55,0.02,0.0208,0.016,0.0179,0.0036,0.017,5,30,0.03,5,30,988609.725,166086.48,2676644.689,0.035,3,3,2017,0.152246132,1.071782674,0.678627206,-0.003549778,2,0.05891443,0.165245851,0.05891443,0.159517898,0.05891443,0.179494018,0.05891443,0.193641867,2070599,2176106,2264482,NaN,1
12,FL26_2017,178579116,150593242,0.075,1,0.0168,0.0168,0.03,0.032500001,23487856,518622,108612,436243,45289,21956.55067,0.099468423,0.028189982,0.099468425,0.128066195,0.37,72,65,68,0.8,0.5,0.05,0.0114,0.0081,0.0124,0.0036,0.0103,6,33,0,8,36,117414498,5071085,195060329,0.026000001,5,8,2017,0.074099995,1.228039428,0.606880346,-0.006791479,2,-0.012260288,0.2238221,-0.012260288,0.220070727,-0.012260288,0.233123866,-0.012260288,0.242318781,154053264,161196880,163573726,161568265,0
13,GA27_2017,17514898,13088185,0.074,1,0.022,0.01,0,0.0325,2546492,60906,6178,49475,41810.00137,27200.12127,0.245287635,0.014083296,0.240802249,0.259629325,0.5,69.7,60,60,0.8,0.5,0.07,0.0055,0.0055,0.0066,0.0036,0.0061,10,30,0,10,30,12240083,489894,18290887,0.0275,2,2,2017,0.04652844,0.988790691,2.491905215,-0.008721268,0,-0.008458692,0.219486761,-0.008458692,0.215886467,-0.008458692,0.228411847,-0.008458692,0.237231523,13098299,13517186,13617472,13502286,0
13,GA28_2017,95981031,71212660,0.075,1,0.02,0.02,0.03,0.0325,11333997,222902,11988,122687,50847.00012,36933.99811,0.146007097,0.063193329,0.145462276,0.209200426,0.333333333,70.2,60,60,1,0.5,0.07,0.0055,0.0055,0.0066,0.0036,0.0061,10,25,0.03,10,25,57659259,0,108324086,0.0275,2,2,2017,0.137700006,1.101632795,NaN,-0.002482981,0,0.03011367,0.247501588,0.03011367,0.243818586,0.03011367,0.256631708,0.03011367,0.265653994,71340976,75532928,78788936,81161560,0
17,IL32_2017,42179500,39187802.31,0.075,1,0.018,0.018,0.03,0.0325,7127452.902,175566,13775,127070,40597,15928.9999,0.126760018,0.055243474,0.126760014,0.182003492,0.370760853,72,60,67,0.718538043,0.377600719,0.06,-0.0043,-0.006,-0.0034,0.0036,-0.0047,8,35,0.0125,10,35,22205198.01,3580040.581,47876610.57,0.025,4,8,2017,0.101099998,1.137803063,NaN,-0.013981539,2,0.123253245,0.060259485,0.123253245,0.052894005,0.123253245,0.078646342,0.123253245,0.096995505,41413164,38751072,45049976,NaN,1
17,IL33_2017,46701348.28,16558873.54,0.07,2,0.019466667,0.0167,0.03,0.0325,4195777.563,60612,4022,72004,69223.54588,32846.52,0.50753,0.059967663,0.428609113,0.488576762,0.53,72,60,67,0.756,0.44,0.06,-0.0043,-0.006,-0.0034,0.0036,-0.0047,8,50,0.0125,10,50,31383470,678870,54727080,0.0275,4,8,2017,0.213743448,1.215212392,0.721344729,-0.000782572,2,0.037829825,0.190969024,0.037829825,0.187356898,0.037829825,0.199925013,0.037829825,0.208777418,16530180,17463278,18491888,19191432.89,0
17,IL34_2017,122904034.3,49467525.21,0.07,2,0.022,0.022,0.03,0.035,9605460.92,159585,19038,117990,60189.98079,51132,0.627046822,0.093234021,0.415014821,0.508248845,0.234545853,71.3,60,67,0.85,0.5,0.06,-0.0043,-0.006,-0.0034,0.0036,-0.0047,5,35,0.0125,10,50,80882352.67,3402129.006,142194851,0.025,4,8,2017,0.180816501,1.173243733,0.76734583,-0.001211609,2,-0.017766813,0.177439055,-0.017766813,0.173801456,-0.017766813,0.18645923,-0.017766813,0.195376513,49375664,51969548,53262788,52316478,0
18,IN37_2017,20648055,8744861,0.0675,1,0.011,0.011,0.01,0.0225,3965594.325,71225,6756,59036,55677,18120.85,0.270822907,0,0.05843589,0.278758625,0.26048438,72.4,63,63,1,0.5,0.05,-5.00E-04,-0.0012,9.00E-04,0.0036,-1.00E-04,12,35,0.01,12,35,12867454,0,22769178,0.0225,5,5,2017,0.0568,1.192734849,NaN,0.008299883,1,0.010445066,0.163611339,0.010445066,0.160053822,0.010445066,0.172432233,0.010445066,0.181151529,8449298,9163699,9883231,9986462,0
22,LA130_2017,2918064.612,2083240.809,0.07325,1,0.033333333,0.0275,0,0.027,293792.282,5663,181,4691,51879.26483,29797.96,0.387815712,0.099306394,0.322837175,0.487898511,0.764965566,72,55,55,0.7,0.5,0.06,4.00E-04,-7.00E-04,0.002,0.0036,7.00E-04,12,25,0,16,27.5,1550785.289,38797.493,3342446.272,0.027,3,5,2017,0.185352517,1.263451171,1.806063058,-1.86E-05,0,0.014593013,0.18825752,0.014593013,0.184658091,0.014593013,0.197181952,0.014593013,0.206003064,2045022.25,2161775.25,2224282,2256740.977,0
22,LA163_2017,1734951.874,1178878.851,0.0725,1,0.03,0.03,0.02,0.0275,145219.716,3047,16,3719,47659.99985,26134.00078,0.288444277,0.091416423,0.301882702,0.405688646,0.5,67,55,55,0.8,0.5,0.03,4.00E-04,-7.00E-04,0.002,0.0036,7.00E-04,10,25,0.02,10,25,1221202.656,1838.007,1897454.81,0.0275,3,5,2017,0.242626429,1.360706671,1.055681869,0.004617963,0,0.113052201,0.054749704,0.113052201,0.047406755,0.113052201,0.073080746,0.113052201,0.091374809,1180912.125,1071085,1193190.875,NaN,1
22,LA44_2017,18792105.56,11976792.98,0.077,1,0.025,0.025,0,0.0275,1821943.975,39055,3794,50199,46650.7227,24869.03914,0.38525157,0.082291906,0.3708038,0.453095843,0.5,72,60,62,0.8,0.5,0.06,4.00E-04,-7.00E-04,0.002,0.0036,7.00E-04,10,30,0,10,50,13637032.69,340779.749,0,0.0275,3,5,2017,0.117600001,1.17460223,1.31425891,0.007942477,0,-0.070179038,0.214617949,-0.070179038,0.210937538,-0.070179038,0.223743152,-0.070179038,0.232762684,11753276,12283713,12282699,11420711,0
25,MA50_2017,38316719,24773042,0.075,1,0.025,0.025,0.011579572,0.04,5927011.814,90014,4094,62259,65845,33680,0.125648644,0.102036577,0.122197327,0.273178636,0.5,71.7,60,67,0.8,0.6666,0.06,0.0035,0,0.0035,0.0036,0.0017,10,50,0.011579572,10,80,20557544,745544,0,0.035,3,5,2017,0.134381443,1.272904983,2.136651151,-0.010019007,2,0.013368975,0.198766818,0.013368975,0.19510977,0.013368975,0.207834486,0.013368975,0.216797693,26282232,27995020,28763796,NaN,1
25,MA51_2017,49193503,25638136,0.075,1,0.025,0.025,0.008936346,0.04,6583871.474,92128,0,65036,71463.99689,43641.99829,0.187657825,0.100987694,0.131030656,0.332550994,0.228,72.40000153,65,67,0.8,0.5,0.06,0.0035,0,0.0035,0.0036,0.0017,10,50,0.008936346,10,50,28772678,0,0,0.035,3,5,2017,0.136197079,1.128065989,NaN,-0.009498407,2,0.013432431,0.232177885,0.013432431,0.21884939,0.013432431,0.265676823,0.013432431,0.299427269,27138608,28791712,29536980,NaN,1
23,ME47_2017,13484886.51,10904082.22,0.06875,1,0.02,0.02,0.022,0.0275,1837608.866,39836,8010,34870,46129.35199,21837.46587,0.170194997,0.075894434,0.11466148,0.253917778,0.5,71.53733617,62,65,0.8,0.66,0.06,-0.0063,-0.008,-0.0024,0.0036,-0.0052,1,50,0.022,1,50,8076838.29,650711.709,15025661.8,0.035,3,3,2017,0.116899997,1.142354454,1.073197389,-0.016030436,0,0.000777164,0.2159184,0.000777164,0.212206616,0.000777164,0.225121812,0.000777164,0.234219233,10893305,11632193,12035565,12044918.61,0
26,MI53_2017,76693475.79,47255286.56,0.0705,1,0.0125,0.0125,0.03,0.035,8221000,187735,22234,213989,41973.99902,22614.99977,0.283932855,0.052060333,0.291807688,0.343867899,0.333333333,70,60,60,0.7,0.5,0.06,-0.0031,-0.0056,-0.0019,0.0036,-0.0038,10,30,0,10,30,51877746,2223562.732,84180315.53,0.025,5,5,2017,0.106200002,1.331772517,1.92259186,-0.023605211,1,0.060943133,0.157434576,0.060943133,0.151612797,0.060943133,0.171919352,0.060943133,0.18630665,47011784,50343496,50857168,NaN,1
29,MO175_2017,1312154.844,1095866.148,0.075,1,0.02,0.0175,0.03,0.0375,167811.028,3170,111,2400,52937.00027,25850.73662,0.137311673,0.047470688,0.14123754,0.18870823,0.5,70.29,65,67,0.55,0.5,0.06,-0.0018,-0.0031,4.00E-04,0.0036,-0.0013,5,30,0,10,33,763849,0,1457295.661,0.03,2,3,2017,0.132600009,1.184894977,NaN,0.011099527,2,-0.061096262,0.230057361,-0.061096262,0.227925619,-0.061096262,0.235331017,-0.061096262,0.240527242,1092298.875,1151661,1169271.625,1097833.5,0
29,MO64_2017,44501771.29,37373739.62,0.076,1,0.025,0.025,0.02,0.0275,4723156.676,78274,8500,59772,60341.32248,40929.96664,0.138087709,0.154586305,0.147117685,0.301703996,0.232043846,70,60,60,0.7,0.5,0.06,-0.0018,-0.0031,4.00E-04,0.0036,-0.0013,5,30,0.02,5,30,27544081.74,146873.655,51961972.24,0.0225,3,3,2017,0.170200005,1.206326749,0.132272171,-0.007021358,1,0.002870983,0.198895818,0.002870983,0.195247287,0.002870983,0.207942223,0.002870983,0.216884212,37280248,39259544,40593760,40710304,0
38,ND82_2017,3734016.828,2379811.205,0.0775,1,0.02,0.02,0,0.0425,650052.674,10874,1600,8501,59779.99878,23398.79449,0.137267662,0.122004195,0.132387529,0.258682285,0.251149531,71.7,65,65,0.75,0.5,0.07,0.0135,0.0118,0.0146,0.0036,0.0132,3,33,0,5,35,2092923.83,89410.993,4582167.287,0.0275,3,5,2017,0.1206,1.534921699,0.849774024,-0.005691767,2,0.013134195,0.213272029,0.013134195,0.209563434,0.013134195,0.222467626,0.013134195,0.231557454,2360491,2530657.5,2616171,2650532.301,0
34,NJ71_2017,58291940.71,33401413.73,0.0765,2,0.018181818,0.016666667,0,0.0308,12493103.58,215439,20381.35,175631,57989.05296,20680.1329,0.194557516,0.074721901,0.129178514,0.205341952,0.400646255,73.26822155,55,65,1,0.5,0.03,0,-0.0026,1.00E-04,0.0036,-0.0012,10,50,0,10,50,34446462.46,58419.009,0,0.0308,3,5,2017,0.100640766,1.016963902,3.99854716,-0.002063136,2,0.019684696,0.205557285,0.019684696,0.201923336,0.019684696,0.214567003,0.019684696,0.223471986,28464240,29472374,29847978,NaN,1
34,NJ73_2017,63028940.94,26549410.22,0.0765,2,0.018181818,0.016666667,0,0.025,10636017.87,140988,206,103528,75467,40420.0424,0.254102365,0.073411856,0.104625408,0.178194717,0.230367123,72.37624604,55,65,0.75,0.5,0.03,0,-0.0026,1.00E-04,0.0036,-0.0012,10,50,0,10,50,40682369.09,32191.75,0,0.025,3,5,2017,0.111962729,1.148886942,1.614737148,0.001836671,2,0.019684696,0.205557285,0.019684696,0.201923336,0.019684696,0.214567003,0.019684696,0.223471986,23056162,22991116,22696734,NaN,1
35,NM74_2017,20194698.29,15124167.3,0.0725,1,0.03,0.025,0.02,0.0275,2204414.89,48751,5279,38011,45218,28732.9998,0.151536356,0.120185686,0.150821583,0.274586443,0.23,67.22,65,65,1,0.5,0.06,-0.0062,-0.0053,-3.00E-04,0.0036,-0.0028,5,25,0.02,8,50,13553822.29,416673.693,22683554.63,0.0225,3,5,2017,0.158100009,2.067997597,0.766190214,-0.000903566,0,-0.052591286,0.169334586,-0.052591286,0.165798397,-0.052591286,0.178102101,-0.052591286,0.186767942,14798918,15210483,15507546,14691984.21,0
