,5,10,15,20,25,30,35,40,45,50,55
25,17.9375,10.14,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45
30,14.6375,8.43,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
35,13.225,7.76,5,5,5,5,5,5,5,5,5
40,12.0875,6.87,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
45,11.2,6.07,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
50,10.75,5.75,3,3,3,3,3,3,3,3,3
55,10.375,5.49,3,3,3,3,3,3,3,3,3
60,10.35,5.44,3,3,3,3,3,3,3,3,3
65,10.35,5.44,3,3,3,3,3,3,3,3,3
70,10.35,5.44,3,3,3,3,3,3,3,3,3
75,10.35,5.44,3,3,3,3,3,3,3,3,3
