,5,10,15,20,25,30,35,40,45,50,55
25,18.1625,9.55,8,8,8,8,8,8,8,8,8
30,14.675,7.62,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45
35,13.125,6.99,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
40,11.8625,6.57,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
45,10.9375,6.09,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85
50,10.425,5.55,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85
55,10.025,5.21,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
60,10,5.19,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
65,10,5.16,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
70,10,5.16,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
75,10,5.16,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
