,1,2,3,4,5,7,10,15,20,25,30
20,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
25,3,3,3,3,3,3,3,3,3,3,3
30,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
35,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
40,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
45,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
50,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
55,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
60,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02,4.99999999999998E-02
65,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
