,1,2,3,9,15,30,35,40,45,50,55
20,34.545,14.325,10.855,5.395,0.015,0.015,0.015,0.015,0.015,0.015,0.015
25,38.155,14.325,10.855,5.5,0.015,0.015,0.015,0.015,0.015,0.015,0.015
30,37.48,14.1,11.42,4.965,0.015,0.015,0.015,0.015,0.015,0.015,0.015
35,29.825,11.285,9.38,3.425,0.01525,0.01525,0.01525,0.01525,0.01525,0.01525,0.01525
40,26.855,9.69,8.515,2.355,0.05,0.05,0.05,0.05,0.05,0.05,0.05
45,25.71,9.17,8.075,1.84,0.2,0.2,0.2,0.2,0.2,0.2,0.2
50,24.4,8.615,7.39,1.42,0.87,0.87,0.87,0.87,0.87,0.87,0.87
55,24.185,8.525,7.145,1.24,1.1,1.1,1.1,1.1,1.1,1.1,1.1
60,21.39,8.525,6.025,1.2,0.835,0.835,0.835,0.835,0.835,0.835,0.835
65,21.39,8.525,6.025,1.2,0.835,0.835,0.835,0.835,0.835,0.835,0.835
70,21.39,8.525,6.025,1.2,0.835,0.835,0.835,0.835,0.835,0.835,0.835
