,5,10,15,20,25,30,35,40,45,50,55
25,0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
30,0,0,-100,-100,-100,-100,-100,-100,-100,-100,-100
35,0,0,0,-100,-100,-100,-100,-100,-100,-100,-100
40,0,0,0,0,-100,-100,-100,-100,-100,-100,-100
45,0,0,0,0,57.5,-100,-100,-100,-100,-100,-100
50,0,0,0,0,57.5,37.5,-100,-100,-100,-100,-100
55,0,0,0,0,57.5,37.5,37.5,-100,-100,-100,-100
60,0,0,0,37.5,35,35,35,35,-100,-100,-100
65,27.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,-100,-100
70,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,-100
75,100,100,100,100,100,100,100,100,100,100,100
