,0,1,2,3,4,5,6,7,8,9,10
20,26.32784,13.78544,11.6878,9.3447,5.7858,3.5354,2.0319,1.1763,1.0924,0.7796,0.8873
25,31.53474,18.77966,13.08882,8.21052,6.0141,3.65586,2.05288,1.19928,1.28578,0.7796,0.8873
30,31.33374,18.50454,12.87394,9.65228,7.08538,4.65854,3.50184,2.27088,1.83326,0.86234,0.8873
35,28.62408,16.6165,13.35002,10.10998,7.55982,6.31824,4.0425,2.63244,2.40848,2.00038,0.80906
40,29.3244,15.68314,13.49284,9.481,6.71226,5.92936,3.60152,3.76146,2.91656,1.98654,0.77156
45,28.96444,17.1564,14.31638,8.14622,6.78388,5.59754,5.79206,3.8798,3.01912,1.74738,0.89786
50,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
55,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
60,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
65,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
70,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
