,5,10,15,20,25,30,35,40,45,50,55
25,0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
30,0,0,-100,-100,-100,-100,-100,-100,-100,-100,-100
35,0,0,0,-100,-100,-100,-100,-100,-100,-100,-100
40,0,0,0,0,-100,-100,-100,-100,-100,-100,-100
45,0,0,0,0,0,-100,-100,-100,-100,-100,-100
50,0,0,0,0,0,0,-100,-100,-100,-100,-100
55,0,0,0,0,0,6,20,-100,-100,-100,-100
60,0,0,0,0,0,7.7,20,40,-100,-100,-100
65,11.1,11.1,11.1,11.1,11.1,10.6,27,25,25,-100,-100
70,17,17,17,17,15,20,30,34,34,34,-100
75,100,100,100,100,100,100,100,100,100,100,100
