,1,3,5,7,9,11,13,15,17,19,21
20,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
25,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
30,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
35,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
40,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
45,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
50,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
55,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
60,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
65,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
75,4.5,2.75,2,1.5,1,0.8,0.6,0.4,0.2,0.1,0.1
