,1,5,10,15,20,25,30,35,40,50,55
20,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
25,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
30,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
35,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
40,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
45,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
50,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
55,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
60,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
65,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
75,10.25,2.75,2.75,1.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
