,5,10,15,20,25,30,35,40,45,50,55
25,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
45,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
50,8,8,8,8,8,8,8,8,8,8,8
55,8,8,8,8,8,8,8,8,8,8,8
60,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
65,12,12,12,12,12,12,12,12,12,12,12
70,12,12,12,12,12,12,12,12,12,12,12
75,100,100,100,100,100,100,100,100,100,100,100
