,0,1,3,4,6,8,12,15,17,30,50
20,21.375,15.675,12.35,11.875,9.5,7.6,6.65,5.7,4.75,4.75,4.75
25,20.25,14.85,11.7,11.25,9,7.2,6.3,5.4,4.5,4.5,4.5
30,18,13.2,10.4,10,8,6.4,5.6,4.8,4,4,4
35,15.75,11.55,9.1,8.75,7,5.6,4.9,4.2,3.5,3.5,3.5
40,10.35,7.59,5.98,5.75,4.6,3.68,3.22,2.76,2.3,2.3,2.3
45,10.35,7.59,5.98,5.75,4.6,3.68,3.22,2.76,2.3,2.3,2.3
50,13.5,9.9,7.8,7.5,6,4.8,4.2,3.6,3,3,3
55,13.5,9.9,7.8,7.5,6,4.8,4.2,3.6,3,3,3
60,13.5,9.9,7.8,7.5,6,4.8,4.2,3.6,3,3,3
65,13.5,9.9,7.8,7.5,6,4.8,4.2,3.6,3,3,3
70,13.5,9.9,7.8,7.5,6,4.8,4.2,3.6,3,3,3
