,0,1,2,3,4,10,11,15,16,35,55
20,31.6,31.6,21.33,17.38,14.22,14.22,5.53,5.53,3.95,3.95,3.95
25,30.8,30.8,20.79,16.94,13.86,13.86,5.39,5.39,3.85,3.85,3.85
30,28.8,28.8,19.44,15.84,12.96,12.96,5.04,5.04,3.6,3.6,3.6
35,25.2,25.2,17.01,13.86,11.34,11.34,4.41,4.41,3.15,3.15,3.15
40,20.8,20.8,14.04,11.44,9.36,9.36,3.64,3.64,2.6,2.6,2.6
45,16,16,10.8,8.8,7.2,7.2,2.8,2.8,2,2,2
50,10.4,10.4,7.02,5.72,4.68,4.68,1.82,1.82,1.3,1.3,1.3
55,3.6,3.6,2.43,1.98,1.62,1.62,0.63,0.63,0.45,0.45,0.45
60,0.4,0.4,0.27,0.22,0.18,0.18,0.07,0.07,0.05,0.05,0.05
65,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0
