,5,10,15,20,25,30,35,40,45,50,55
25,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
55,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
60,5,5,5,5,5,5,5,5,5,5,5
65,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85
70,20,20,20,20,20,20,20,20,20,20,20
75,100,100,100,100,100,100,100,100,100,100,100
