,0,5,10,20,25,30,35,40,45,50,55
25,14,5.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
30,15,5.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
35,14,5.4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
40,13,5.2,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
45,14,6,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
50,16,7,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
55,16,7,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
60,16,7,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
65,16,7,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
70,16,7,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
75,16,7,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
