,1,3,5,7,9,11,13,15,17,19,21
20,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
25,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
30,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
35,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
40,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
45,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
50,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
55,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
60,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
65,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
75,1.19,1.07,0.95,0.83,0.71,0.59,0.47,0.35,0.23,0.11,0
