,5,10,15,20,25,30,35,40,45,50,55
25,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
55,15,15,15,15,15,15,15,-100,-100,-100,-100
60,15,15,15,15,15,15,15,15,-100,-100,-100
65,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,-100,-100
70,33,33,33,33,33,33,33,33,33,33,-100
75,100,100,100,100,100,100,100,100,100,100,100
