,5,10,15,20,25,30,35,40,45,50,55
25,1.46666666666667,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
30,1.46666666666667,1.46666666666667,-100,-100,-100,-100,-100,-100,-100,-100,-100
35,1.46666666666667,1.46666666666667,1.46666666666667,-100,-100,-100,-100,-100,-100,-100,-100
40,1.46666666666667,1.46666666666667,1.46666666666667,1.46666666666667,-100,-100,-100,-100,-100,-100,-100
45,1.46666666666667,1.46666666666667,1.46666666666667,1.46666666666667,1.46666666666667,0,0,0,0,0,0
50,1.46666666666667,1.46666666666667,1.46666666666667,1.46666666666667,1.46666666666667,0,0,0,0,0,0
55,3.16,3.16,3.16,3.16,16,0,0,0,0,0,0
60,0,0,0,0,22.4,14.25,14.25,14.25,-100,-100,-100
65,7.2,7.2,7.2,7.2,42.3,27.15,27.15,27.15,27.15,-100,-100
70,16.5,16.5,16.5,16.5,55,30,30,30,30,30,-100
75,100,100,100,100,100,100,100,100,100,100,100
