,0,1,2,3,4,5,6,7,8,9,10
20,24.40176,11.06102,10.029,5.97916,7.9156,5.7015,4.1279,3.0151,3.7037,2.2766,1.9527
25,35.23054,19.44376,12.3911,8.02974,5.08724,4.57892,3.87594,3.03672,3.58656,2.2766,1.9527
30,33.48662,19.5684,13.3673,10.81796,7.89012,6.51882,5.38492,3.99734,3.30394,2.63198,1.9527
35,29.68558,16.74292,12.04224,10.52078,8.42664,6.79742,5.67008,4.8504,4.0125,3.37572,1.5713
40,26.5623,14.34982,10.75904,9.25344,7.45748,5.9479,4.72298,4.12746,3.57184,3.02302,1.0905
45,26.82378,14.50658,10.22118,9.59828,7.2954,5.77612,4.64592,3.84776,3.0004,2.83166,0.9808
50,29.87998,15.9435,11.13702,9.8408,6.75238,5.69,5.1446,3.8767,2.9164,2.5499,0.9409
55,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
60,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
65,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
70,25.39296,17.8609,14.41586,10.7491,7.2689,6.1041,6.5709,4.75182,3.63658,2.3728,0.9227
