,5,10,15,20,25,30,35,40,45,50,55
25,0,0,0,0,0,-100,-100,-100,-100,-100,-100
30,0,0,0,0,0,-100,-100,-100,-100,-100,-100
35,0,0,0,0,0,-100,-100,-100,-100,-100,-100
40,0,0,0,0,0,-100,-100,-100,-100,-100,-100
45,0,0,0,0,0,-100,-100,-100,-100,-100,-100
50,0,0,0,0,0,0,-100,-100,-100,-100,-100
55,5.55,5.55,5.55,9.25,9.25,9.25,39.77,-100,-100,-100,-100
60,5.26,5.26,5.26,8.12,8.12,8.12,19.19,19.19,-100,-100,-100
65,15.32,15.32,15.32,25.27,25.27,25.27,20.58,20.58,20.58,-100,-100
70,15.32,15.32,15.32,25.27,25.27,25.27,20.58,20.58,20.58,20.58,-100
75,100,100,100,100,100,100,100,100,100,100,100
