,1,3,4,5,7,11,35,40,45,50,55
20,25.05,12.991,7.721,6.55,4.365,1.51,1.51,1.51,1.51,1.51,1.51
25,20.978,14.518,10.279,7.437,4.528,1.51,1.51,1.51,1.51,1.51,1.51
30,15.87,13.472,10.331,7.712,4.347,1.558,1.558,1.558,1.558,1.558,1.558
35,14.988,11.073,9.256,6.877,4.439,1.934,1.934,1.934,1.934,1.934,1.934
40,13.991,9.714,7.283,5.674,4.048,1.692,1.692,1.692,1.692,1.692,1.692
45,13.15,8.652,6.433,5.413,3.614,1.582,1.582,1.582,1.582,1.582,1.582
50,13.485,8.135,6.301,5.101,3.283,1.308,1.308,1.308,1.308,1.308,1.308
55,13.641,8.095,6.52,5.181,3.32,1.198,1.198,1.198,1.198,1.198,1.198
60,14.448,9.655,7.617,5.821,2.363,1.196,1.196,1.196,1.196,1.196,1.196
65,15.971,11.118,8.365,6.096,1.874,1.196,1.196,1.196,1.196,1.196,1.196
70,15.971,11.118,8.365,6.096,1.874,1.196,1.196,1.196,1.196,1.196,1.196
