,1,2,4,5,7,9,10,20,30,40,50
25,13.41,13.41,13.41,7.47,7.47,7.47,7.47,5.02,5.02,5.02,5.02
30,13.81,13.81,13.81,6.05,6.05,6.05,6.05,4.02,4.02,4.02,4.02
35,14.22,14.22,14.22,5.53,5.53,5.53,5.53,2.85,2.85,2.85,2.85
40,11.79,11.79,11.79,4.87,4.87,4.87,4.87,1.6,1.6,1.6,1.6
45,11.54,11.54,11.54,4.51,4.51,4.51,4.51,1.65,1.65,1.65,1.65
50,11.66,11.66,11.66,4.43,4.43,4.43,4.43,2.06,2.06,2.06,2.06
55,11.75,11.75,11.75,4.38,4.38,4.38,4.38,3.1,3.1,3.1,3.1
60,12.25,12.25,12.25,5.97,5.97,5.97,5.97,6.4,6.4,6.4,6.4
65,12.25,12.25,12.25,5.97,5.97,5.97,5.97,6.4,6.4,6.4,6.4
70,12.25,12.25,12.25,5.97,5.97,5.97,5.97,6.4,6.4,6.4,6.4
75,12.25,12.25,12.25,5.97,5.97,5.97,5.97,6.4,6.4,6.4,6.4
