,1,2,4,5,7,9,10,20,30,40,50
25,14.85,14.85,14.85,5.7,5.7,5.7,5.7,2.57,2.57,2.57,2.57
30,12.74,12.74,12.74,3.37,3.37,3.37,3.37,2.57,2.57,2.57,2.57
35,13.39,13.39,13.39,3.21,3.21,3.21,3.21,1.5,1.5,1.5,1.5
40,14.49,14.49,14.49,3.97,3.97,3.97,3.97,1.34,1.34,1.34,1.34
45,14.42,14.42,14.42,4.53,4.53,4.53,4.53,1.37,1.37,1.37,1.37
50,14.31,14.31,14.31,4.45,4.45,4.45,4.45,1.92,1.92,1.92,1.92
55,12.17,12.17,12.17,4.43,4.43,4.43,4.43,3.38,3.38,3.38,3.38
60,12.43,12.43,12.43,5.58,5.58,5.58,5.58,5.57,5.57,5.57,5.57
65,12.43,12.43,12.43,5.58,5.58,5.58,5.58,5.57,5.57,5.57,5.57
70,12.43,12.43,12.43,5.58,5.58,5.58,5.58,5.57,5.57,5.57,5.57
75,12.43,12.43,12.43,5.58,5.58,5.58,5.58,5.57,5.57,5.57,5.57
