planid,agemin,agemax,servmin,servmax,wage,employee,inactive
dal_gen19,20,24,0,4,35545.94969,,
dal_gen19,25,29,0,4,43406.49614,,
dal_gen19,30,34,0,4,48682.14766,,
dal_gen19,35,39,0,4,51488.21905,,
dal_gen19,40,44,0,4,54712.82576,,
dal_gen19,45,49,0,4,52046.91964,,
dal_gen19,50,54,0,4,53548.94081,,
dal_gen19,55,59,0,4,54809.02745,,
dal_gen19,60,64,0,4,54977.38732,,
dal_gen19,65,70,0,4,59124.67442,,
dal_gen19,20,24,5,9,36690,,
dal_gen19,25,29,5,9,50933.01538,,
dal_gen19,30,34,5,9,53419.45274,,
dal_gen19,35,39,5,9,60708.47143,,
dal_gen19,40,44,5,9,62424.32487,,
dal_gen19,45,49,5,9,64136.10983,,
dal_gen19,50,54,5,9,56532.82635,,
dal_gen19,55,59,5,9,57130.01948,,
dal_gen19,60,64,5,9,61120.76577,,
dal_gen19,65,70,5,9,57338.96078,,
dal_gen19,20,24,10,14,,,
dal_gen19,25,29,10,14,,,
dal_gen19,30,34,10,14,59193.56,,
dal_gen19,35,39,10,14,63883.26752,,
dal_gen19,40,44,10,14,63355.46784,,
dal_gen19,45,49,10,14,63207.50633,,
dal_gen19,50,54,10,14,65417.44262,,
dal_gen19,55,59,10,14,59853.41818,,
dal_gen19,60,64,10,14,62657,,
dal_gen19,65,70,10,14,66461.83099,,
dal_gen19,20,24,15,19,,,
dal_gen19,25,29,15,19,,,
dal_gen19,30,34,15,19,,,
dal_gen19,35,39,15,19,68168.1,,
dal_gen19,40,44,15,19,71258.81111,,
dal_gen19,45,49,15,19,63886.92188,,
dal_gen19,50,54,15,19,71086,,
dal_gen19,55,59,15,19,64940.67284,,
dal_gen19,60,64,15,19,64920.37079,,
dal_gen19,65,70,15,19,70145.19149,,
dal_gen19,20,24,20,24,,,
dal_gen19,25,29,20,24,,,
dal_gen19,30,34,20,24,,,
dal_gen19,35,39,20,24,65443.25,,
dal_gen19,40,44,20,24,66171.9322,,
