plan,city,sheet,n_numeric_cells,signature,status,n_plans_sharing_signature
bos_data19_gen,bos,Wage_Growth,24,57e890ff,shared_default,3
bos_data19_gen,bos,Refund_Rate,0,,empty,
bos_data19_gen,bos,Avg_Mort,100,38a7a657,shared_default,10
bos_data19_gen,bos,Sep_Rate,21,de140843,shared_default,2
bos_data19_gen,bos,Ret_Rate,23,f566d215,shared_default,7
bos_data19_gen,bos,Retirement,0,,empty,
bos_data19_gen,bos,Age_Serv_Num,9,fa48b864,plan_specific,1
bos_data19_gen,bos,Age_Serv_Wage,9,fa48b864,plan_specific,1
bos_data19_gen,bos,Inactv_Serv_Num,9,fa48b864,shared_default,11
chi_data19_edu,chi,Wage_Growth,49,fa78b70f,plan_specific,1
chi_data19_edu,chi,Refund_Rate,0,,empty,
chi_data19_edu,chi,Avg_Mort,100,38a7a657,shared_default,10
chi_data19_edu,chi,Sep_Rate,112,c2a5c77a,plan_specific,1
chi_data19_edu,chi,Ret_Rate,212,2d97bfb9,plan_specific,1
chi_data19_edu,chi,Retirement,0,,empty,
chi_data19_edu,chi,Age_Serv_Num,64,72d3dda0,plan_specific,1
chi_data19_edu,chi,Age_Serv_Wage,59,3037fac5,plan_specific,1
chi_data19_edu,chi,Inactv_Serv_Num,9,fa48b864,shared_default,11
chi_data19_ff,chi,Wage_Growth,49,441a0d6e,plan_specific,1
chi_data19_ff,chi,Refund_Rate,5,c87ffe8e,plan_specific,1
chi_data19_ff,chi,Avg_Mort,100,38a7a657,shared_default,10
chi_data19_ff,chi,Sep_Rate,112,ac598ae0,plan_specific,1
chi_data19_ff,chi,Ret_Rate,23,f566d215,shared_default,7
chi_data19_ff,chi,Retirement,22,27a60e9b,plan_specific,1
chi_data19_ff,chi,Age_Serv_Num,56,6996cc36,plan_specific,1
chi_data19_ff,chi,Age_Serv_Wage,89,835ceb38,plan_specific,1
chi_data19_ff,chi,Inactv_Serv_Num,9,fa48b864,shared_default,11
chi_data19_gen,chi,Wage_Growth,49,69ca6b73,plan_specific,1
chi_data19_gen,chi,Refund_Rate,0,,empty,
chi_data19_gen,chi,Avg_Mort,100,38a7a657,shared_default,10
chi_data19_gen,chi,Sep_Rate,112,202bbada,plan_specific,1
chi_data19_gen,chi,Ret_Rate,212,d7c9d85f,plan_specific,1
chi_data19_gen,chi,Retirement,108,9d8d406c,plan_specific,1
chi_data19_gen,chi,Age_Serv_Num,68,8aca4f4d,plan_specific,1
chi_data19_gen,chi,Age_Serv_Wage,68,8bd37367,plan_specific,1
chi_data19_gen,chi,Inactv_Serv_Num,219,845fa808,plan_specific,1
chi_data19_pol,chi,Wage_Growth,49,9d64109b,plan_specific,1
chi_data19_pol,chi,Refund_Rate,72,693b2917,plan_specific,1
chi_data19_pol,chi,Avg_Mort,100,38a7a657,shared_default,10
chi_data19_pol,chi,Sep_Rate,165,1275e75e,plan_specific,1
chi_data19_pol,chi,Ret_Rate,212,ade87879,plan_specific,1
chi_data19_pol,chi,Retirement,22,5d16a479,plan_specific,1
chi_data19_pol,chi,Age_Serv_Num,57,c8a41484,plan_specific,1
chi_data19_pol,chi,Age_Serv_Wage,47,35d7bba8,plan_specific,1
chi_data19_pol,chi,Inactv_Serv_Num,9,fa48b864,shared_default,11
dal_data19_ffpol,dal,Wage_Growth,24,57e890ff,shared_default,3
dal_data19_ffpol,dal,Refund_Rate,0,,empty,
dal_data19_ffpol,dal,Avg_Mort,296,10d414aa,plan_specific,1
dal_data19_ffpol,dal,Sep_Rate,297,556ceb45,plan_specific,1
dal_data19_ffpol,dal,Ret_Rate,21,d81d5260,shared_default,3
dal_data19_ffpol,dal,Retirement,0,,empty,
dal_data19_ffpol,dal,Age_Serv_Num,64,8049a181,plan_specific,1
dal_data19_ffpol,dal,Age_Serv_Wage,63,4288eecd,plan_specific,1
dal_data19_ffpol,dal,Inactv_Serv_Num,0,ABSENT,absent,
dal_data19_primary_AF,dal,Wage_Growth,49,4d54638e,plan_specific,1
dal_data19_primary_AF,dal,Refund_Rate,80,673a7e6b,shared_default,5
dal_data19_primary_AF,dal,Avg_Mort,200,d93b1733,shared_default,2
dal_data19_primary_AF,dal,Sep_Rate,131,5720eda5,plan_specific,1
dal_data19_primary_AF,dal,Ret_Rate,209,4eb96968,plan_specific,1
dal_data19_primary_AF,dal,Retirement,22,17440e11,plan_specific,1
dal_data19_primary_AF,dal,Age_Serv_Num,58,3c746480,plan_specific,1
dal_data19_primary_AF,dal,Age_Serv_Wage,57,cd5483e8,plan_specific,1
dal_data19_primary_AF,dal,Inactv_Serv_Num,0,ABSENT,absent,
dc_data19_ffpol,dc,Wage_Growth,24,57e890ff,shared_default,3
dc_data19_ffpol,dc,Refund_Rate,0,,empty,
