plan,sheet,n_numeric_cells,signature,status,n_plans_sharing_signature,availableData_flag
AZ06,ageservice,288,f6d1a1b5,plan_specific,1,True
AZ06,retdist,309,2c53480f,plan_specific,1,True
AZ06,wagerel,419,37c4c2d1,plan_specific,1,True
AZ06,mortality,692,6ad8c9c8,plan_specific,1,True
AZ06,wagegrowth,262,049448e1,plan_specific,1,True
AZ06,withdrawal,391,85a36608,plan_specific,1,True
AZ06,retirement,286,0c79d834,plan_specific,1,False
AZ06,refund,284,99d19109,shared_default,36,False
AZ06,disability,286,8debf9a1,shared_default,35,False
AZ127,ageservice,205,d57a9762,plan_specific,1,True
AZ127,retdist,118,cd01372d,plan_specific,1,True
AZ127,wagerel,485,f733cc99,plan_specific,1,True
AZ127,mortality,620,21e849b1,plan_specific,1,False
AZ127,wagegrowth,262,f1822258,plan_specific,1,True
AZ127,withdrawal,343,3d58ddb3,plan_specific,1,True
AZ127,retirement,300,695b53c3,plan_specific,1,False
AZ127,refund,284,99d19109,shared_default,36,False
AZ127,disability,286,8debf9a1,shared_default,35,False
CA10,ageservice,578,2b5f6aba,plan_specific,1,True
CA10,retdist,156,eb040ba8,plan_specific,1,True
CA10,wagerel,565,f63eab93,plan_specific,1,True
CA10,mortality,24,e13c55d9,plan_specific,1,True
CA10,wagegrowth,971,0cc4d537,plan_specific,1,True
CA10,withdrawal,286,9c8bb5fd,plan_specific,1,True
CA10,retirement,699,b4d8fa8b,plan_specific,1,True
CA10,refund,284,99d19109,shared_default,36,False
CA10,disability,356,77d2c476,plan_specific,1,False
CA111,ageservice,402,35530401,plan_specific,1,True
CA111,retdist,96,25fb7223,plan_specific,1,True
CA111,wagerel,143,8d31851b,plan_specific,1,True
CA111,mortality,622,7d25fab5,plan_specific,1,True
CA111,wagegrowth,143,ec375ff1,plan_specific,1,True
CA111,withdrawal,286,a209471a,plan_specific,1,True
CA111,retirement,726,e491429a,plan_specific,1,False
CA111,refund,284,99d19109,shared_default,36,False
CA111,disability,286,8debf9a1,shared_default,35,False
CA144,ageservice,421,d7980c5d,plan_specific,1,True
CA144,retdist,101,b58b9123,plan_specific,1,True
CA144,wagerel,370,57732337,plan_specific,1,True
CA144,mortality,601,1468f469,plan_specific,1,True
CA144,wagegrowth,179,55bb5053,plan_specific,1,True
CA144,withdrawal,572,9dbf9ed8,plan_specific,1,True
CA144,retirement,763,40ab9e32,plan_specific,1,True
CA144,refund,284,99d19109,shared_default,36,False
CA144,disability,286,8debf9a1,shared_default,35,False
CA43,ageservice,335,8c83deec,plan_specific,1,True
CA43,retdist,284,6fdf888f,plan_specific,1,True
CA43,wagerel,334,7606af8f,plan_specific,1,True
CA43,mortality,601,4872a062,plan_specific,1,True
CA43,wagegrowth,205,f00e5e1c,plan_specific,1,True
CA43,withdrawal,773,454e40a5,plan_specific,1,True
CA43,retirement,611,e6e6f6ff,plan_specific,1,False
CA43,refund,284,99d19109,shared_default,36,False
CA43,disability,286,8debf9a1,shared_default,35,False
CA97,ageservice,1260,341f4bbe,plan_specific,1,True
CA97,retdist,113,98e92c0e,plan_specific,1,True
CA97,wagerel,115,b2544425,plan_specific,1,True
CA97,mortality,601,2bfd8847,plan_specific,1,True
CA97,wagegrowth,212,85ed2aad,plan_specific,1,True
CA97,withdrawal,331,c3140222,plan_specific,1,True
CA97,retirement,527,3552e85d,plan_specific,1,False
CA97,refund,284,99d19109,shared_default,36,False
CA97,disability,286,8debf9a1,shared_default,35,False
CA98,ageservice,210,e57823ee,plan_specific,1,True
CA98,retdist,101,ebab0d4a,plan_specific,1,True
CA98,wagerel,211,3bc1ab4b,plan_specific,1,True
CA98,mortality,601,8668f2ca,plan_specific,1,True
CA98,wagegrowth,323,9d3bce5e,plan_specific,1,True
CA98,withdrawal,1502,10152f46,plan_specific,1,True
CA98,retirement,499,8a9174db,plan_specific,1,False
CA98,refund,284,99d19109,shared_default,36,False
CA98,disability,286,8debf9a1,shared_default,35,False
DC20,ageservice,285,a34bc5ea,plan_specific,1,True
DC20,retdist,255,ad765d6e,plan_specific,1,True
DC20,wagerel,594,d3a34543,plan_specific,1,True
DC20,mortality,972,3061346b,plan_specific,1,False
DC20,wagegrowth,143,b7586d9d,plan_specific,1,True
DC20,withdrawal,286,87e6bf17,plan_specific,1,True
DC20,retirement,286,360962b6,plan_specific,1,False
DC20,refund,284,99d19109,shared_default,36,False
DC20,disability,286,8debf9a1,shared_default,35,False
FL26,ageservice,391,854030b7,plan_specific,1,True
FL26,retdist,209,65c86cec,plan_specific,1,True
FL26,wagerel,262,623ed452,plan_specific,1,True
FL26,mortality,124,b15f7ce9,plan_specific,1,False
FL26,wagegrowth,628,109a906e,plan_specific,1,True
FL26,withdrawal,2107,6d528e82,plan_specific,1,True
FL26,retirement,741,4b1aab07,plan_specific,1,False
FL26,refund,287,c5673d55,plan_specific,1,False
FL26,disability,1071,b93c4de3,plan_specific,1,False
GA27,ageservice,471,aa20acf5,plan_specific,1,True
GA27,retdist,196,20015beb,plan_specific,1,True
GA27,wagerel,247,24956afb,plan_specific,1,True
GA27,mortality,601,a2ed2b85,plan_specific,1,False
GA27,wagegrowth,163,e5e56d9a,plan_specific,1,True
GA27,withdrawal,108,b286e420,plan_specific,1,False
GA27,retirement,412,f727bbf9,plan_specific,1,False
GA27,refund,284,99d19109,shared_default,36,False
GA27,disability,286,8debf9a1,shared_default,35,False
GA28,ageservice,629,2729d61e,plan_specific,1,True
GA28,retdist,190,72bf1d8a,plan_specific,1,True
GA28,wagerel,143,dc052fb2,plan_specific,1,True
GA28,mortality,601,976368d7,plan_specific,1,True
GA28,wagegrowth,226,6e88aa7f,plan_specific,1,True
GA28,withdrawal,356,202aaeab,plan_specific,1,True
GA28,retirement,1249,3e6402d8,plan_specific,1,False
GA28,refund,284,99d19109,shared_default,36,False
GA28,disability,286,8debf9a1,shared_default,35,False
IL32,ageservice,975,b016d294,plan_specific,1,True
IL32,retdist,518,2149557d,plan_specific,1,True
IL32,wagerel,610,2a5d5bb6,plan_specific,1,True
IL32,mortality,620,8b001719,plan_specific,1,True
IL32,wagegrowth,96,6d030c5e,plan_specific,1,True
IL32,withdrawal,238,02e53388,plan_specific,1,False
